 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7479   -24.9004   -24.8200     5.1525   .999   16
     .10   -19.7478   -24.9004   -24.8200     5.1526  1.000    8
     .20   -19.7479   -24.9005   -24.8201     5.1526  1.000    9
     .30   -19.7478   -24.9006   -24.8202     5.1527  1.000    6
     .40   -19.7479   -24.9006   -24.8203     5.1528  1.000    7
     .50   -19.7479   -24.9007   -24.8203     5.1528  1.000    7
     .60   -19.7476   -24.9006   -24.8202     5.1529  1.000    5
     .70   -19.7479   -24.9009   -24.8205     5.1530  1.000    8
     .80   -19.7470   -24.9000   -24.8197     5.1531  1.000    4
     .90   -19.7477   -24.9009   -24.8205     5.1532  1.000    6
    1.00   -19.7479   -24.9011   -24.8207     5.1533  1.000    9
    1.10   -19.7478   -24.9012   -24.8208     5.1533  1.000    6
    1.20   -19.7478   -24.9013   -24.8209     5.1534  1.000    7
    1.30   -19.7478   -24.9013   -24.8210     5.1535  1.000    7
    1.40   -19.7478   -24.9014   -24.8210     5.1536  1.000    6
    1.50   -19.7478   -24.9015   -24.8211     5.1537  1.000    5
    1.60   -19.7478   -24.9016   -24.8212     5.1538  1.000    6
    1.70   -19.7478   -24.9017   -24.8213     5.1539  1.000    6
    1.80   -19.7478   -24.9018   -24.8214     5.1540  1.000    7
    1.90   -19.7478   -24.9019   -24.8215     5.1541  1.000    7
    2.00   -19.7476   -24.9018   -24.8214     5.1542  1.000    4
    2.10   -19.7478   -24.9021   -24.8217     5.1543  1.000    6
    2.20   -19.7478   -24.9022   -24.8218     5.1544  1.000    7
    2.30   -19.7478   -24.9023   -24.8219     5.1545  1.000    6
    2.40   -19.7478   -24.9024   -24.8220     5.1546  1.000    7
    2.50   -19.7478   -24.9026   -24.8222     5.1547  1.000    8
    2.60   -19.7478   -24.9027   -24.8223     5.1548  1.000    7
    2.70   -19.7478   -24.9028   -24.8224     5.1549  1.000    7
    2.80   -19.7478   -24.9029   -24.8225     5.1551  1.000    6
    2.90   -19.7477   -24.9028   -24.8225     5.1552  1.000    5
    3.00   -19.7478   -24.9031   -24.8227     5.1553  1.000    7
    3.10   -19.7478   -24.9032   -24.8228     5.1554  1.000    7
    3.20   -19.7478   -24.9033   -24.8230     5.1555  1.000    7
    3.30   -19.7478   -24.9034   -24.8231     5.1556  1.000    7
    3.40   -19.7478   -24.9036   -24.8232     5.1558   .999    6
    3.50   -19.7478   -24.9037   -24.8233     5.1559   .999    7
    3.60   -19.7478   -24.9038   -24.8234     5.1560   .999    6
    3.70   -19.7478   -24.9039   -24.8235     5.1561   .999    7
    3.80   -19.7478   -24.9040   -24.8237     5.1562   .999    7
    3.90   -19.7478   -24.9042   -24.8238     5.1564   .999    6
    4.00   -19.7477   -24.9041   -24.8238     5.1565   .999    4
    4.10   -19.7478   -24.9044   -24.8240     5.1566   .999    6
    4.20   -19.7478   -24.9045   -24.8241     5.1567   .999    5
    4.30   -19.7478   -24.9046   -24.8243     5.1568   .998    7
    4.40   -19.7478   -24.9048   -24.8244     5.1570   .998    6
    4.50   -19.7478   -24.9049   -24.8245     5.1571   .998    7
    4.60   -19.7478   -24.9050   -24.8246     5.1572   .998    6
    4.70   -19.7478   -24.9051   -24.8247     5.1573   .998    4
    4.80   -19.7478   -24.9052   -24.8248     5.1574   .998    6
    4.90   -19.7478   -24.9053   -24.8250     5.1576   .997    6
