 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7200   -24.8546   -24.7743     5.1346   .999   16
     .10   -19.7200   -24.8547   -24.7744     5.1347  1.000    9
     .20   -19.7200   -24.8547   -24.7744     5.1347  1.000    9
     .30   -19.7200   -24.8547   -24.7745     5.1348  1.000    7
     .40   -19.7200   -24.8548   -24.7745     5.1348  1.000    7
     .50   -19.7200   -24.8549   -24.7746     5.1349  1.000    8
     .60   -19.7200   -24.8549   -24.7747     5.1349  1.000    9
     .70   -19.7194   -24.8544   -24.7741     5.1350  1.000    4
     .80   -19.7200   -24.8551   -24.7748     5.1351  1.000    7
     .90   -19.7200   -24.8551   -24.7748     5.1351  1.000    7
    1.00   -19.7200   -24.8552   -24.7749     5.1352  1.000    8
    1.10   -19.7200   -24.8553   -24.7750     5.1353  1.000    6
    1.20   -19.7199   -24.8553   -24.7750     5.1354  1.000    6
    1.30   -19.7200   -24.8554   -24.7751     5.1354  1.000    7
    1.40   -19.7200   -24.8555   -24.7752     5.1355  1.000    7
    1.50   -19.7200   -24.8556   -24.7753     5.1356  1.000    7
    1.60   -19.7199   -24.8556   -24.7753     5.1357  1.000    7
    1.70   -19.7200   -24.8557   -24.7755     5.1358  1.000    7
    1.80   -19.7200   -24.8558   -24.7755     5.1359  1.000    7
    1.90   -19.7200   -24.8559   -24.7756     5.1359  1.000    7
    2.00   -19.7200   -24.8560   -24.7757     5.1360  1.000    7
    2.10   -19.7200   -24.8561   -24.7758     5.1361  1.000    8
    2.20   -19.7200   -24.8562   -24.7759     5.1362  1.000    6
    2.30   -19.7200   -24.8563   -24.7760     5.1363  1.000    7
    2.40   -19.7200   -24.8564   -24.7761     5.1364  1.000    7
    2.50   -19.7199   -24.8565   -24.7762     5.1365  1.000    7
    2.60   -19.7199   -24.8565   -24.7763     5.1366  1.000    6
    2.70   -19.7199   -24.8567   -24.7764     5.1367  1.000    6
    2.80   -19.7199   -24.8568   -24.7765     5.1368  1.000    6
    2.90   -19.7199   -24.8569   -24.7766     5.1369  1.000    6
    3.00   -19.7199   -24.8570   -24.7767     5.1370  1.000    7
    3.10   -19.7199   -24.8571   -24.7768     5.1371   .999    6
    3.20   -19.7199   -24.8572   -24.7769     5.1372   .999    6
    3.30   -19.7199   -24.8573   -24.7770     5.1373   .999    6
    3.40   -19.7199   -24.8574   -24.7771     5.1375   .999    6
    3.50   -19.7199   -24.8575   -24.7772     5.1376   .999    6
    3.60   -19.7199   -24.8576   -24.7774     5.1377   .999    7
    3.70   -19.7199   -24.8577   -24.7775     5.1378   .999    7
    3.80   -19.7199   -24.8578   -24.7776     5.1379   .999    6
    3.90   -19.7199   -24.8579   -24.7777     5.1380   .999    9
    4.00   -19.7199   -24.8580   -24.7778     5.1381   .998    6
    4.10   -19.7199   -24.8581   -24.7779     5.1382   .998    6
    4.20   -19.7199   -24.8583   -24.7780     5.1383   .998    6
    4.30   -19.7199   -24.8584   -24.7781     5.1384   .998    5
    4.40   -19.7199   -24.8585   -24.7782     5.1386   .998    5
    4.50   -19.7199   -24.8586   -24.7783     5.1387   .997    6
    4.60   -19.7199   -24.8587   -24.7784     5.1388   .997    6
    4.70   -19.7199   -24.8588   -24.7785     5.1389   .997    5
    4.80   -19.7199   -24.8589   -24.7787     5.1390   .997    5
    4.90   -19.7199   -24.8590   -24.7788     5.1391   .996    6
    5.00   -19.7199   -24.8591   -24.7789     5.1392   .996    5
    5.10   -19.7199   -24.8592   -24.7790     5.1393   .996    5
    5.20   -19.7199   -24.8593   -24.7791     5.1394   .995    4
    5.30   -19.7199   -24.8594   -24.7792     5.1396   .995    4
    5.40   -19.7199   -24.8596   -24.7793     5.1397   .995    4
    5.50   -19.7199   -24.8597   -24.7794     5.1398   .994    5
    5.60   -19.7199   -24.8598   -24.7796     5.1399   .994    5
    5.70   -19.7199   -24.8599   -24.7797     5.1400   .994    6
    5.80   -19.7199   -24.8600   -24.7798     5.1402   .993    5
    5.90   -19.7199   -24.8602   -24.7799     5.1403   .993    6
    6.00   -19.7199   -24.8603   -24.7800     5.1404   .992    7
