 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7446   -24.8589   -24.7784     5.1142   .999   16
     .10   -19.7446   -24.8586   -24.7781     5.1140  1.000    8
     .20   -19.7446   -24.8584   -24.7779     5.1138  1.000    9
     .30   -19.7446   -24.8582   -24.7777     5.1135  1.000    7
     .40   -19.7446   -24.8579   -24.7774     5.1133  1.000    7
     .50   -19.7446   -24.8577   -24.7772     5.1131  1.000    7
     .60   -19.7446   -24.8575   -24.7770     5.1129  1.000    8
     .70   -19.7445   -24.8572   -24.7766     5.1126  1.000    6
     .80   -19.7446   -24.8571   -24.7765     5.1124  1.000    8
     .90   -19.7446   -24.8568   -24.7763     5.1122  1.000    9
    1.00   -19.7446   -24.8566   -24.7761     5.1120  1.000    8
    1.10   -19.7446   -24.8564   -24.7759     5.1118  1.000    8
    1.20   -19.7446   -24.8562   -24.7757     5.1116  1.000    7
    1.30   -19.7446   -24.8560   -24.7755     5.1114  1.000    7
    1.40   -19.7446   -24.8558   -24.7753     5.1111  1.000    7
    1.50   -19.7446   -24.8556   -24.7751     5.1109  1.000    9
    1.60   -19.7446   -24.8554   -24.7749     5.1107  1.000    7
    1.70   -19.7446   -24.8552   -24.7746     5.1105  1.000    6
    1.80   -19.7446   -24.8549   -24.7744     5.1103  1.000    7
    1.90   -19.7446   -24.8548   -24.7742     5.1101  1.000    6
    2.00   -19.7443   -24.8542   -24.7737     5.1099  1.000    4
    2.10   -19.7446   -24.8544   -24.7738     5.1098  1.000    7
    2.20   -19.7446   -24.8542   -24.7737     5.1096  1.000    8
    2.30   -19.7446   -24.8540   -24.7735     5.1094  1.000    8
    2.40   -19.7444   -24.8536   -24.7731     5.1092  1.000    5
    2.50   -19.7446   -24.8536   -24.7731     5.1090  1.000    8
    2.60   -19.7446   -24.8534   -24.7729     5.1088  1.000    9
    2.70   -19.7446   -24.8532   -24.7727     5.1086  1.000    8
    2.80   -19.7446   -24.8530   -24.7725     5.1084  1.000    6
    2.90   -19.7446   -24.8528   -24.7723     5.1082  1.000    7
    3.00   -19.7446   -24.8527   -24.7721     5.1080  1.000    6
    3.10   -19.7444   -24.8523   -24.7717     5.1079   .999    4
    3.20   -19.7446   -24.8523   -24.7718     5.1077   .999    7
    3.30   -19.7446   -24.8521   -24.7716     5.1075   .999    6
    3.40   -19.7446   -24.8519   -24.7714     5.1073   .999    7
    3.50   -19.7445   -24.8516   -24.7711     5.1071   .999    4
    3.60   -19.7446   -24.8515   -24.7710     5.1069   .999    7
    3.70   -19.7446   -24.8514   -24.7709     5.1068   .999    6
    3.80   -19.7446   -24.8512   -24.7707     5.1066   .999    5
    3.90   -19.7446   -24.8510   -24.7705     5.1064   .999    6
    4.00   -19.7446   -24.8508   -24.7703     5.1062   .998    7
    4.10   -19.7445   -24.8505   -24.7700     5.1060   .998    5
    4.20   -19.7446   -24.8504   -24.7699     5.1058   .998    6
    4.30   -19.7446   -24.8502   -24.7697     5.1057   .998    5
    4.40   -19.7446   -24.8500   -24.7695     5.1055   .998    5
    4.50   -19.7446   -24.8499   -24.7693     5.1053   .997    6
    4.60   -19.7446   -24.8497   -24.7692     5.1051   .997    6
    4.70   -19.7446   -24.8495   -24.7690     5.1049   .997    5
    4.80   -19.7446   -24.8493   -24.7688     5.1047   .997    4
    4.90   -19.7446   -24.8491   -24.7686     5.1045   .997    6
    5.00   -19.7446   -24.8489   -24.7684     5.1043   .996    6
    5.10   -19.7445   -24.8487   -24.7682     5.1042   .996    4
    5.20   -19.7446   -24.8485   -24.7680     5.1040   .996    5
    5.30   -19.7445   -24.8483   -24.7678     5.1038   .995    4
    5.40   -19.7445   -24.8481   -24.7676     5.1036   .995    4
    5.50   -19.7445   -24.8479   -24.7674     5.1034   .994    4
    5.60   -19.7445   -24.8477   -24.7672     5.1032   .994    4
    5.70   -19.7445   -24.8475   -24.7670     5.1030   .994    4
    5.80   -19.7445   -24.8473   -24.7668     5.1028   .993    4
    5.90   -19.7445   -24.8471   -24.7666     5.1026   .993    4
    6.00   -19.7445   -24.8469   -24.7664     5.1025   .992    4
    6.10   -19.7445   -24.8467   -24.7662     5.1023   .992    4
    6.20   -19.7445   -24.8466   -24.7661     5.1021   .991    4
    6.30   -19.7445   -24.8464   -24.7659     5.1019   .990    4
    6.40   -19.7445   -24.8462   -24.7657     5.1017   .990    5
    6.50   -19.7445   -24.8461   -24.7655     5.1016   .989    4
    6.60   -19.7445   -24.8459   -24.7654     5.1014   .988    6
    6.70   -19.7445   -24.8457   -24.7652     5.1013   .988    5
    6.80   -19.7445   -24.8456   -24.7651     5.1011   .987    4
