 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.6619   -24.8216   -24.7417     5.1597   .999   16
     .10   -19.6619   -24.8217   -24.7418     5.1599  1.000    8
     .20   -19.6618   -24.8218   -24.7419     5.1600  1.000    9
     .30   -19.6619   -24.8219   -24.7421     5.1601  1.000    6
     .40   -19.6619   -24.8221   -24.7422     5.1602  1.000    8
     .50   -19.6619   -24.8222   -24.7423     5.1603  1.000    8
     .60   -19.6618   -24.8223   -24.7424     5.1605  1.000    6
     .70   -19.6618   -24.8224   -24.7426     5.1606  1.000    6
     .80   -19.6617   -24.8224   -24.7425     5.1607  1.000    5
     .90   -19.6619   -24.8227   -24.7428     5.1608  1.000    7
    1.00   -19.6619   -24.8228   -24.7430     5.1610  1.000    6
    1.10   -19.6619   -24.8230   -24.7431     5.1611  1.000    7
    1.20   -19.6619   -24.8231   -24.7432     5.1613  1.000    7
    1.30   -19.6619   -24.8232   -24.7434     5.1614  1.000    7
    1.40   -19.6619   -24.8234   -24.7435     5.1615  1.000    8
    1.50   -19.6618   -24.8235   -24.7436     5.1617  1.000    6
    1.60   -19.6618   -24.8237   -24.7438     5.1618  1.000    7
    1.70   -19.6619   -24.8238   -24.7439     5.1619  1.000    7
    1.80   -19.6619   -24.8239   -24.7441     5.1621  1.000    7
    1.90   -19.6616   -24.8239   -24.7440     5.1622  1.000    4
    2.00   -19.6618   -24.8242   -24.7444     5.1624  1.000    8
    2.10   -19.6618   -24.8244   -24.7445     5.1625  1.000    7
    2.20   -19.6618   -24.8245   -24.7446     5.1627  1.000    7
    2.30   -19.6618   -24.8247   -24.7448     5.1628  1.000    6
    2.40   -19.6618   -24.8248   -24.7449     5.1630  1.000    8
    2.50   -19.6618   -24.8250   -24.7451     5.1631  1.000    7
    2.60   -19.6618   -24.8251   -24.7452     5.1633  1.000    6
    2.70   -19.6617   -24.8252   -24.7453     5.1634  1.000    4
    2.80   -19.6618   -24.8254   -24.7456     5.1636  1.000    6
    2.90   -19.6618   -24.8255   -24.7457     5.1637  1.000    6
    3.00   -19.6618   -24.8257   -24.7459     5.1639  1.000    8
    3.10   -19.6618   -24.8259   -24.7460     5.1640   .999    7
    3.20   -19.6618   -24.8260   -24.7462     5.1642   .999    7
    3.30   -19.6618   -24.8262   -24.7463     5.1644   .999    7
    3.40   -19.6618   -24.8263   -24.7465     5.1645   .999    6
    3.50   -19.6618   -24.8265   -24.7466     5.1647   .999    6
    3.60   -19.6618   -24.8266   -24.7468     5.1648   .999    5
    3.70   -19.6618   -24.8268   -24.7469     5.1650   .999    6
    3.80   -19.6618   -24.8269   -24.7471     5.1651   .999    6
    3.90   -19.6618   -24.8271   -24.7472     5.1653   .999    5
    4.00   -19.6618   -24.8272   -24.7474     5.1654   .999    7
