 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7923   -24.9053   -24.8250     5.1130  1.000   16
     .10   -19.7923   -24.9052   -24.8248     5.1128  1.000    8
     .20   -19.7923   -24.9050   -24.8246     5.1127  1.000    8
     .30   -19.7923   -24.9049   -24.8245     5.1125  1.000    7
     .40   -19.7923   -24.9047   -24.8243     5.1124  1.000    6
     .50   -19.7923   -24.9046   -24.8242     5.1122  1.000    9
     .60   -19.7923   -24.9044   -24.8240     5.1121  1.000    7
     .70   -19.7923   -24.9043   -24.8239     5.1119  1.000    7
     .80   -19.7923   -24.9041   -24.8237     5.1118  1.000    7
     .90   -19.7923   -24.9040   -24.8236     5.1117  1.000    8
    1.00   -19.7923   -24.9038   -24.8235     5.1115  1.000    6
    1.10   -19.7923   -24.9037   -24.8234     5.1114  1.000    7
    1.20   -19.7923   -24.9036   -24.8232     5.1113  1.000    8
    1.30   -19.7923   -24.9035   -24.8231     5.1111  1.000    8
    1.40   -19.7923   -24.9033   -24.8230     5.1110  1.000    8
    1.50   -19.7923   -24.9032   -24.8228     5.1109  1.000    6
    1.60   -19.7923   -24.9031   -24.8227     5.1108  1.000    8
    1.70   -19.7920   -24.9027   -24.8223     5.1106  1.000    4
    1.80   -19.7923   -24.9028   -24.8225     5.1105  1.000    6
    1.90   -19.7923   -24.9027   -24.8223     5.1104  1.000    7
    2.00   -19.7923   -24.9026   -24.8222     5.1103  1.000    7
    2.10   -19.7923   -24.9025   -24.8221     5.1102  1.000    6
    2.20   -19.7920   -24.9021   -24.8217     5.1101  1.000    4
    2.30   -19.7923   -24.9022   -24.8218     5.1099  1.000    6
    2.40   -19.7923   -24.9021   -24.8218     5.1098  1.000    7
    2.50   -19.7923   -24.9020   -24.8217     5.1097  1.000    6
    2.60   -19.7923   -24.9019   -24.8215     5.1096  1.000    7
    2.70   -19.7923   -24.9018   -24.8214     5.1095  1.000    6
    2.80   -19.7921   -24.9016   -24.8212     5.1094  1.000    4
    2.90   -19.7923   -24.9016   -24.8212     5.1093  1.000    7
    3.00   -19.7923   -24.9015   -24.8211     5.1092   .999    6
    3.10   -19.7921   -24.9012   -24.8209     5.1091   .999    5
