 site       X              Y              Z             EMT           DFT
  2   0.4950925980   0.0000000000  -3.4000000000  -0.7160118866  -1.0284113300
  2   0.4950925980   0.0000000000  -3.2000000000  -0.0168111556  -0.8353097100
  2   0.4950925980   0.0000000000  -3.0000000000   1.0407041335  -0.4975200700
  2   0.4950925980   0.0000000000  -2.8000000000   2.2305539781  -0.0754113000
  2   0.4950925980   0.0000000000  -2.6000000000   3.1704232530   0.2706121000
  2   0.4950925980   0.0000000000  -2.4000000000   3.4934035444   0.3650925200
  2   0.4950925980   0.0000000000  -2.2000000000   3.0875721698   0.1539438000
  2   0.4950925980   0.0000000000  -2.0000000000   2.1943691090  -0.2471428300
  2   0.4950925980   0.0000000000  -1.8000000000   1.2741413271  -0.6403109600
  2   0.4950925980   0.0000000000  -1.6000000000   0.8084587960  -0.8445732500
  2   0.4950925980   0.0000000000  -1.4000000000   1.3040054955  -0.6476252300
  2   0.4950925980   0.0000000000  -1.2000000000   3.6550403096   0.4697963900
  2   0.4950925980   0.0000000000  -1.0000000000   9.8127279514   3.8378432100
  2   0.4950925980   0.0000000000   1.0000000000   8.5343489159   2.9970199500
  2   0.4950925980   0.0000000000   1.2000000000   1.9063963118  -0.4685275900
  2   0.4950925980   0.0000000000   1.4000000000  -0.9083308689  -1.5888557400
  2   0.4950925980   0.0000000000   1.6000000000  -1.8797387431  -1.7218588800
  2   0.4950925980   0.0000000000   1.8000000000  -1.9997509988  -1.4674781400
  2   0.4950925980   0.0000000000   2.0000000000  -1.7683994985  -1.0863606600
  2   0.4950925980   0.0000000000   2.2000000000  -1.4305493821  -0.6955358500
  2   0.4950925980   0.0000000000   2.4000000000  -1.0977066398  -0.3697565000
  2   0.4950925980   0.0000000000   2.6000000000  -0.8133126828  -0.1807841800
  2   0.4950925980   0.0000000000   2.8000000000  -0.5878821642  -0.0845863000
  2   0.4950925980   0.0000000000   3.0000000000  -0.4171225929  -0.0401606700
  2   0.4950925980   0.0000000000   3.2000000000  -0.2917204024  -0.0201803800
  2   0.4950925980   0.0000000000   3.4000000000  -0.2016750368  -0.0111888100
  2   0.4950925980   0.0000000000   3.6000000000  -0.1380857163  -0.0071804200
  2   0.4950925980   0.0000000000   3.8000000000  -0.0934052218  -0.0054035300
  2   0.4950925980   0.0000000000   4.0000000000  -0.0617482417  -0.0045288300
  2   0.4950925980   0.0000000000   4.2000000000  -0.0405002682  -0.0039569100
  2   0.4950925980   0.0000000000   4.4000000000  -0.0248786580  -0.0034473900
  2   0.4950925980   0.0000000000   4.6000000000  -0.0147194887  -0.0029264200
  2   0.4950925980   0.0000000000   4.8000000000  -0.0094068172  -0.0023934000
