 site       X              Y              Z             EMT           DFT
  2   0.4950925980   0.0000000000   1.2000000000  -0.5639630743  -0.4685275900
  2   0.4950925980   0.0000000000   1.4000000000  -1.4994804040  -1.5888557400
  2   0.4950925980   0.0000000000   1.6000000000  -1.6486449896  -1.7218588800
  2   0.4950925980   0.0000000000   1.8000000000  -1.5031287197  -1.4674781400
  2   0.4950925980   0.0000000000   2.0000000000  -1.2617942547  -1.0863606600
  2   0.4950925980   0.0000000000   2.2000000000  -1.0097157377  -0.6955358500
  2   0.4950925980   0.0000000000   2.4000000000  -0.7823968378  -0.3697565000
  2   0.4950925980   0.0000000000   2.6000000000  -0.5922699250  -0.1807841800
  2   0.4950925980   0.0000000000   2.8000000000  -0.4408810800  -0.0845863000
  2   0.4950925980   0.0000000000   3.0000000000  -0.3236185812  -0.0401606700
  2   0.4950925980   0.0000000000   3.2000000000  -0.2347677574  -0.0201803800
  2   0.4950925980   0.0000000000   3.4000000000  -0.1686320563  -0.0111888100
  2   0.4950925980   0.0000000000   3.6000000000  -0.1200575372  -0.0071804200
  2   0.4950925980   0.0000000000   3.8000000000  -0.0840806524  -0.0054035300
  2   0.4950925980   0.0000000000   4.0000000000  -0.0567138521  -0.0045288300
  2   0.4950925980   0.0000000000   4.2000000000  -0.0380387719  -0.0039569100
  2   0.4950925980   0.0000000000   4.4000000000  -0.0231611120  -0.0034473900
  2   0.4950925980   0.0000000000   4.6000000000  -0.0134077470  -0.0029264200
  2   0.4950925980   0.0000000000   4.8000000000  -0.0088046297  -0.0023934000
  2   0.4950925980   0.0000000000   5.0000000000  -0.0056666494  -0.0018647000
  2   0.4950925980   0.0000000000   5.2000000000  -0.0007498331  -0.0013665800
  2   0.4950925980   0.0000000000   5.4000000000  -0.0000098959  -0.0009223800
  2   0.4950925980   0.0000000000   5.6000000000  -0.0000001066  -0.0005335400
  2   0.4950925980   0.0000000000   5.8000000000  -0.0000000016  -0.0002101300
  2   0.4950925980   0.0000000000   6.0000000000  -0.0000000005   0.0000423800
  3   0.9901851960   0.0000000000  -5.0000000000   9.4436881810   8.4485172000
  3   0.9901851960   0.0000000000  -4.8000000000  10.1645753214   9.2096237600
  3   0.9901851960   0.0000000000  -4.6000000000   8.1169442795   7.8018882300
  3   0.9901851960   0.0000000000  -4.4000000000   4.8304645607   5.0949056300
  3   0.9901851960   0.0000000000  -4.2000000000   2.0203266853   2.4226629400
  3   0.9901851960   0.0000000000  -4.0000000000   0.2761514672   0.5624511100
  3   0.9901851960   0.0000000000  -3.8000000000  -0.5536555553  -0.3896112800
  3   0.9901851960   0.0000000000  -3.6000000000  -0.7291635668  -0.6031798200
  3   0.9901851960   0.0000000000  -3.4000000000  -0.3260346539  -0.1465905400
  3   0.9901851960   0.0000000000  -3.2000000000   0.8179316203   1.1117578100
  3   0.9901851960   0.0000000000  -3.0000000000   2.9739530260   3.2994252800
  3   0.9901851960   0.0000000000  -2.8000000000   6.0994616427   6.1133258200
  3   0.9901851960   0.0000000000  -2.6000000000   9.1563853487   8.5139200800
  3   0.9901851960   0.0000000000  -2.4000000000  10.2375046131   9.1851412300
  3   0.9901851960   0.0000000000  -2.2000000000   8.4887471259   7.6970446200
  3   0.9901851960   0.0000000000  -2.0000000000   5.2465528057   4.9591733700
  3   0.9901851960   0.0000000000  -1.8000000000   2.3177412586   2.2983098800
  3   0.9901851960   0.0000000000  -1.6000000000   0.4330393611   0.4593176600
  3   0.9901851960   0.0000000000  -1.4000000000  -0.5108813404  -0.4914791800
  3   0.9901851960   0.0000000000  -1.2000000000  -0.7934368148  -0.7495507400
  3   0.9901851960   0.0000000000  -1.0000000000  -0.5408101275  -0.4087266900
  3   0.9901851960   0.0000000000  -0.8000000000   0.3525910918   0.6561365900
  3   0.9901851960   0.0000000000  -0.6000000000   2.1345151176   2.6246445000
  3   0.9901851960   0.0000000000  -0.4000000000   4.8551795598   5.3287169800
  3   0.9901851960   0.0000000000  -0.2000000000   7.7219859801   7.8723843300
  3   0.9901851960   0.0000000000   0.0000000000   8.9918281927   8.9024681300
  3   0.9901851960   0.0000000000   0.2000000000   7.6163066400   7.7224247800
  3   0.9901851960   0.0000000000   0.4000000000   4.6350528492   5.0143067900
  3   0.9901851960   0.0000000000   0.6000000000   1.7870917755   2.1325373400
  3   0.9901851960   0.0000000000   0.8000000000  -0.1316058749  -0.0074507800
  3   0.9901851960   0.0000000000   1.0000000000  -1.1674367782  -1.2163270900
  3   0.9901851960   0.0000000000   1.2000000000  -1.6012925181  -1.6991186600
  3   0.9901851960   0.0000000000   1.4000000000  -1.6771499411  -1.7292176200
  3   0.9901851960   0.0000000000   1.6000000000  -1.5617221712  -1.5159720200
  3   0.9901851960   0.0000000000   1.8000000000  -1.3583038987  -1.1937068500
  3   0.9901851960   0.0000000000   2.0000000000  -1.1279378455  -0.8436701800
  3   0.9901851960   0.0000000000   2.2000000000  -0.9055827197  -0.5098086800
  3   0.9901851960   0.0000000000   2.4000000000  -0.7081444061  -0.2666640400
  3   0.9901851960   0.0000000000   2.6000000000  -0.5420913351  -0.1308350200
  3   0.9901851960   0.0000000000   2.8000000000  -0.4070395372  -0.0624062900
  3   0.9901851960   0.0000000000   3.0000000000  -0.3012263811  -0.0305329200
  3   0.9901851960   0.0000000000   3.2000000000  -0.2202316587  -0.0160175500
  3   0.9901851960   0.0000000000   3.4000000000  -0.1587811094  -0.0094602600
  3   0.9901851960   0.0000000000   3.6000000000  -0.1132894138  -0.0065347700
  3   0.9901851960   0.0000000000   3.8000000000  -0.0786498776  -0.0052066400
  3   0.9901851960   0.0000000000   4.0000000000  -0.0550324425  -0.0045096400
  3   0.9901851960   0.0000000000   4.2000000000  -0.0383794241  -0.0039909800
  3   0.9901851960   0.0000000000   4.4000000000  -0.0250355193  -0.0034878200
  3   0.9901851960   0.0000000000   4.6000000000  -0.0149752429  -0.0029598800
  3   0.9901851960   0.0000000000   4.8000000000  -0.0081899003  -0.0024181400
  3   0.9901851960   0.0000000000   5.0000000000  -0.0041316117  -0.0018841800
  3   0.9901851960   0.0000000000   5.2000000000  -0.0001747293  -0.0013891900
  3   0.9901851960   0.0000000000   5.4000000000  -0.0000021584  -0.0009532700
  3   0.9901851960   0.0000000000   5.6000000000  -0.0000000242  -0.0005722900
  3   0.9901851960   0.0000000000   5.8000000000  -0.0000000008  -0.0002512800
  3   0.9901851960   0.0000000000   6.0000000000  -0.0000000005  -0.0000001800
  4   1.4852777940   0.0000000000  -4.2000000000   5.3436752424   5.6850676100
  4   1.4852777940   0.0000000000  -4.0000000000   1.7409763392   2.0917281100
  4   1.4852777940   0.0000000000  -3.8000000000   0.1881486365   0.3168925200
  4   1.4852777940   0.0000000000  -3.6000000000  -0.1249231116  -0.0744760600
  4   1.4852777940   0.0000000000  -3.4000000000   0.6026882312   0.7671678700
  4   1.4852777940   0.0000000000  -3.2000000000   2.8136818604   3.1394035900
  4   1.4852777940   0.0000000000  -3.0000000000   7.4862989077   7.4350210900
  4   1.4852777940   0.0000000000  -1.8000000000   5.8507400008   5.4424900800
  4   1.4852777940   0.0000000000  -1.6000000000   1.8041419254   1.8565445200
  4   1.4852777940   0.0000000000  -1.4000000000  -0.1300725722  -0.0307064200
  4   1.4852777940   0.0000000000  -1.2000000000  -0.9347592184  -0.8439618800
  4   1.4852777940   0.0000000000  -1.0000000000  -1.1868285917  -1.1146655200
  4   1.4852777940   0.0000000000  -0.8000000000  -1.1539343518  -1.1281045300
  4   1.4852777940   0.0000000000  -0.6000000000  -0.9523564359  -0.9983429400
  4   1.4852777940   0.0000000000  -0.4000000000  -0.6731963998  -0.7985041200
  4   1.4852777940   0.0000000000  -0.2000000000  -0.4354211109  -0.6341463700
  4   1.4852777940   0.0000000000   0.0000000000  -0.3618274875  -0.6232422000
  4   1.4852777940   0.0000000000   0.2000000000  -0.5076621383  -0.8196053800
  4   1.4852777940   0.0000000000   0.4000000000  -0.8239875423  -1.1671303900
  4   1.4852777940   0.0000000000   0.6000000000  -1.1929688998  -1.5364316500
  4   1.4852777940   0.0000000000   0.8000000000  -1.4987403567  -1.8041649500
  4   1.4852777940   0.0000000000   1.0000000000  -1.6749235111  -1.9052169100
  4   1.4852777940   0.0000000000   1.2000000000  -1.7095814266  -1.8365501800
  4   1.4852777940   0.0000000000   1.4000000000  -1.6275567917  -1.6349435700
  4   1.4852777940   0.0000000000   1.6000000000  -1.4666146817  -1.3512819400
  4   1.4852777940   0.0000000000   1.8000000000  -1.2642765999  -1.0326422400
  4   1.4852777940   0.0000000000   2.0000000000  -1.0520066423  -0.7129287000
  4   1.4852777940   0.0000000000   2.2000000000  -0.8492306030  -0.4154696900
  4   1.4852777940   0.0000000000   2.4000000000  -0.6687392775  -0.2177428300
  4   1.4852777940   0.0000000000   2.6000000000  -0.5152045512  -0.1074131800
  4   1.4852777940   0.0000000000   2.8000000000  -0.3895811702  -0.0519192500
  4   1.4852777940   0.0000000000   3.0000000000  -0.2906487537  -0.0258826800
  4   1.4852777940   0.0000000000   3.2000000000  -0.2134046527  -0.0139793700
  4   1.4852777940   0.0000000000   3.4000000000  -0.1524751116  -0.0086057000
  4   1.4852777940   0.0000000000   3.6000000000  -0.1088552484  -0.0062173700
  4   1.4852777940   0.0000000000   3.8000000000  -0.0774320017  -0.0051224400
  4   1.4852777940   0.0000000000   4.0000000000  -0.0546491862  -0.0044978500
  4   1.4852777940   0.0000000000   4.2000000000  -0.0382644586  -0.0040071200
  4   1.4852777940   0.0000000000   4.4000000000  -0.0255215302  -0.0035041200
  4   1.4852777940   0.0000000000   4.6000000000  -0.0149784389  -0.0029746900
  4   1.4852777940   0.0000000000   4.8000000000  -0.0097431817  -0.0024275000
  4   1.4852777940   0.0000000000   5.0000000000  -0.0015055730  -0.0018863600
  4   1.4852777940   0.0000000000   5.2000000000  -0.0000242167  -0.0013897400
  4   1.4852777940   0.0000000000   5.4000000000  -0.0000003084  -0.0009559400
  4   1.4852777940   0.0000000000   5.6000000000  -0.0000000041  -0.0005780500
  4   1.4852777940   0.0000000000   5.8000000000  -0.0000000006  -0.0002586800
  4   1.4852777940   0.0000000000   6.0000000000  -0.0000000005  -0.0000075500
  5   0.7426388970   0.4287627670  -5.0000000000  -0.2069700794  -0.3088081700
  5   0.7426388970   0.4287627670  -4.8000000000  -0.1502428204  -0.2372000200
  5   0.7426388970   0.4287627670  -4.6000000000  -0.3168314286  -0.3570495200
  5   0.7426388970   0.4287627670  -4.4000000000  -0.6247019697  -0.6028261500
  5   0.7426388970   0.4287627670  -4.2000000000  -0.9377743278  -0.8550733100
  5   0.7426388970   0.4287627670  -4.0000000000  -1.1381556135  -1.0064850200
