 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7464   -24.9481   -24.8685     5.2016   .999   16
     .10   -19.7464   -24.9481   -24.8686     5.2017  1.000    8
     .20   -19.7464   -24.9482   -24.8687     5.2018  1.000    9
     .30   -19.7464   -24.9483   -24.8688     5.2019  1.000   10
     .40   -19.7464   -24.9484   -24.8689     5.2020  1.000    7
     .50   -19.7464   -24.9485   -24.8690     5.2021  1.000    8
     .60   -19.7464   -24.9487   -24.8691     5.2022  1.000    8
     .70   -19.7464   -24.9488   -24.8692     5.2023  1.000    8
     .80   -19.7464   -24.9489   -24.8693     5.2025  1.000    8
     .90   -19.7464   -24.9490   -24.8694     5.2026  1.000    7
    1.00   -19.7464   -24.9491   -24.8695     5.2027  1.000    7
    1.10   -19.7464   -24.9492   -24.8696     5.2028  1.000    8
    1.20   -19.7464   -24.9493   -24.8697     5.2029  1.000    8
    1.30   -19.7464   -24.9494   -24.8698     5.2030  1.000    7
    1.40   -19.7464   -24.9495   -24.8700     5.2031  1.000    7
    1.50   -19.7464   -24.9496   -24.8700     5.2032  1.000    7
    1.60   -19.7461   -24.9495   -24.8699     5.2034  1.000    4
    1.70   -19.7464   -24.9499   -24.8703     5.2035  1.000    8
    1.80   -19.7464   -24.9500   -24.8704     5.2036  1.000    7
    1.90   -19.7464   -24.9501   -24.8705     5.2037  1.000    7
    2.00   -19.7464   -24.9502   -24.8707     5.2038  1.000    7
    2.10   -19.7464   -24.9503   -24.8708     5.2039  1.000    6
    2.20   -19.7464   -24.9505   -24.8709     5.2041  1.000    6
    2.30   -19.7463   -24.9505   -24.8709     5.2042  1.000    5
    2.40   -19.7464   -24.9507   -24.8711     5.2043  1.000    7
    2.50   -19.7464   -24.9508   -24.8712     5.2044  1.000    7
    2.60   -19.7464   -24.9509   -24.8714     5.2046  1.000    6
    2.70   -19.7464   -24.9511   -24.8715     5.2047  1.000    7
    2.80   -19.7464   -24.9512   -24.8716     5.2048  1.000    7
    2.90   -19.7464   -24.9513   -24.8717     5.2049  1.000    7
    3.00   -19.7463   -24.9514   -24.8718     5.2051  1.000    7
    3.10   -19.7464   -24.9516   -24.8720     5.2052  1.000    7
    3.20   -19.7464   -24.9517   -24.8721     5.2053  1.000    9
    3.30   -19.7464   -24.9518   -24.8722     5.2054   .999    7
    3.40   -19.7464   -24.9519   -24.8723     5.2056   .999    7
    3.50   -19.7463   -24.9520   -24.8724     5.2057   .999    6
    3.60   -19.7464   -24.9522   -24.8726     5.2058   .999    6
    3.70   -19.7464   -24.9523   -24.8727     5.2059   .999    5
    3.80   -19.7464   -24.9524   -24.8728     5.2061   .999    6
    3.90   -19.7464   -24.9525   -24.8730     5.2062   .999    7
    4.00   -19.7464   -24.9527   -24.8731     5.2063   .999    6
    4.10   -19.7463   -24.9528   -24.8732     5.2064   .999    4
    4.20   -19.7464   -24.9529   -24.8733     5.2066   .998    7
    4.30   -19.7463   -24.9530   -24.8734     5.2067   .998    6
    4.40   -19.7463   -24.9531   -24.8735     5.2068   .998    5
    4.50   -19.7464   -24.9533   -24.8737     5.2069   .998    6
    4.60   -19.7464   -24.9534   -24.8738     5.2070   .998    5
    4.70   -19.7463   -24.9535   -24.8739     5.2071   .998    4
    4.80   -19.7463   -24.9536   -24.8740     5.2073   .997    6
    4.90   -19.7463   -24.9537   -24.8741     5.2074   .997    5
    5.00   -19.7463   -24.9538   -24.8742     5.2075   .997    5
    5.10   -19.7463   -24.9539   -24.8743     5.2076   .997    5
    5.20   -19.7463   -24.9540   -24.8744     5.2077   .996    5
    5.30   -19.7461   -24.9539   -24.8743     5.2078   .996    4
    5.40   -19.7463   -24.9542   -24.8746     5.2079   .996    7
    5.50   -19.7463   -24.9543   -24.8747     5.2080   .995    5
    5.60   -19.7461   -24.9542   -24.8746     5.2081   .995    4
    5.70   -19.7463   -24.9545   -24.8749     5.2082   .995    5
    5.80   -19.7463   -24.9546   -24.8750     5.2083   .994    7
    5.90   -19.7463   -24.9547   -24.8751     5.2084   .994    5
    6.00   -19.7463   -24.9548   -24.8752     5.2085   .993    4
    6.10   -19.7463   -24.9549   -24.8753     5.2086   .993    6
    6.20   -19.7463   -24.9550   -24.8754     5.2087   .992    6
    6.30   -19.7463   -24.9551   -24.8755     5.2088   .992    5
    6.40   -19.7463   -24.9552   -24.8756     5.2089   .991    5
    6.50   -19.7463   -24.9553   -24.8757     5.2090   .991    5
    6.60   -19.7463   -24.9554   -24.8758     5.2091   .990    4
    6.70   -19.7463   -24.9555   -24.8759     5.2092   .989    4
    6.80   -19.7463   -24.9556   -24.8760     5.2094   .989    4
    6.90   -19.7463   -24.9558   -24.8761     5.2095   .988    4
    7.00   -19.7463   -24.9559   -24.8763     5.2096   .987    4
    7.10   -19.7463   -24.9560   -24.8764     5.2098   .986    4
    7.20   -19.7462   -24.9562   -24.8765     5.2099   .986    4
    7.30   -19.7463   -24.9563   -24.8767     5.2101   .985    5
    7.40   -19.7463   -24.9565   -24.8769     5.2103   .983    4
