 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
    9.50   -19.7607   -24.9313   -24.8505     5.1705   .923    4
    9.60   -19.7607   -24.9339   -24.8532     5.1732   .918    4
    9.70   -19.7607   -24.9369   -24.8561     5.1761   .912    3
    9.80   -19.7607   -24.9401   -24.8594     5.1794   .906    3
    9.90   -19.7607   -24.9438   -24.8631     5.1831   .899    3
   10.00   -19.7607   -24.9479   -24.8672     5.1872   .892    4
   10.10   -19.7607   -24.9525   -24.8718     5.1918   .884    4
   10.20   -19.7607   -24.9577   -24.8769     5.1970   .875    3
   10.30   -19.7606   -24.9635   -24.8827     5.2028   .866    3
   10.40   -19.7606   -24.9699   -24.8891     5.2093   .856    4
   10.50   -19.7606   -24.9772   -24.8963     5.2165   .845    4
   10.60   -19.7606   -24.9853   -24.9044     5.2246   .833    3
   10.70   -19.7606   -24.9943   -24.9133     5.2337   .820    3
   10.80   -19.7606   -25.0044   -24.9234     5.2438   .806    3
   10.90   -19.7606   -25.0157   -24.9346     5.2551   .791    3
   11.00   -19.7605   -25.0283   -24.9470     5.2677   .775    3
   11.10   -19.7605   -25.0423   -24.9608     5.2817   .758    3
   11.20   -19.7605   -25.0578   -24.9762     5.2973   .739    4
   11.30   -19.7605   -25.0751   -24.9931     5.3146   .718    3
   11.40   -19.7605   -25.0942   -25.0119     5.3338   .695    4
   11.50   -19.7604   -25.1154   -25.0327     5.3550   .669    3
   11.60   -19.7604   -25.1389   -25.0555     5.3785   .642    2
   11.70   -19.7604   -25.1648   -25.0807     5.4044   .610    4
   11.80   -19.7604   -25.1934   -25.1084     5.4330   .574    4
   11.90   -19.7604   -25.2249   -25.1389     5.4644   .531    3
   12.00   -19.7604   -25.2596   -25.1722     5.4992   .479    3
   12.10   -19.7604   -25.2978   -25.2089     5.5374   .412    3
   12.20   -19.7604   -25.3400   -25.2495     5.5796   .323    4
   12.30   -19.7607   -25.3866   -25.2948     5.6259   .191    4
   12.40   -19.7616   -25.4374   -25.3455     5.6758  -.030    4
   12.50   -19.7617   -25.4895   -25.3980     5.7278   .001   12
   12.60   -19.7617   -25.5428   -25.4517     5.7811   .007    5
   12.70   -19.7618   -25.5975   -25.5068     5.8357  -.003    4
   12.80   -19.7618   -25.6534   -25.5630     5.8915   .000    4
   12.90   -19.7618   -25.7104   -25.6204     5.9486   .002    4
   13.00   -19.7618   -25.7685   -25.6789     6.0067  -.001    3
   13.10   -19.7618   -25.8277   -25.7383     6.0658   .001    3
   13.20   -19.7618   -25.8876   -25.7986     6.1258   .001    3
   13.30   -19.7617   -25.9483   -25.8595     6.1865   .001    3
   13.40   -19.7616   -26.0094   -25.9209     6.2478  -.004    4
   13.50   -19.7616   -26.0709   -25.9826     6.3093   .004    3
   13.60   -19.7616   -26.1323   -26.0443     6.3707   .000    4
   13.70   -19.7617   -26.1934   -26.1056     6.4317   .000    4
   13.80   -19.7617   -26.2537   -26.1661     6.4920   .001    3
   13.90   -19.7617   -26.3128   -26.2254     6.5511   .001    3
   14.00   -19.7618   -26.3701   -26.2828     6.6083   .000    3
   14.10   -19.7618   -26.4249   -26.3378     6.6631   .000   14
   14.20   -19.7619   -26.4765   -26.3895     6.7146   .000    6
   14.30   -19.7620   -26.5240   -26.4371     6.7619   .000    3
   14.40   -19.7621   -26.5662   -26.4795     6.8041   .000    4
   14.50   -19.7623   -26.6021   -26.5155     6.8398   .000    4
   14.60   -19.7624   -26.6301   -26.5436     6.8677   .000    4
   14.70   -19.7624   -26.6487   -26.5623     6.8862   .000    3
   14.80   -19.7626   -26.6559   -26.5696     6.8933   .000    4
   14.90   -19.7627   -26.6496   -26.5635     6.8869   .000    4
   15.00   -19.7629   -26.6275   -26.5415     6.8646   .000    3
   15.10   -19.7631   -26.5868   -26.5009     6.8238   .000    4
   15.20   -19.7633   -26.5247   -26.4390     6.7614   .000    4
   15.30   -19.7635   -26.4381   -26.3524     6.6745   .000    3
   15.40   -19.7638   -26.3236   -26.2382     6.5598   .000    5
   15.50   -19.7641   -26.1781   -26.0929     6.4141   .000    5
   15.60   -19.7644   -25.9988   -25.9137     6.2344   .000    4
   15.70   -19.7646   -25.7830   -25.6981     6.0184   .000    5
   15.80   -19.7647   -25.5293   -25.4446     5.7645   .000    6
   15.90   -19.7648   -25.2375   -25.1530     5.4727   .000    4
   16.00   -19.7647   -24.9093   -24.8249     5.1447   .000    4
   16.10   -19.7643   -24.5489   -24.4650     4.7846   .000    4
   16.20   -19.7637   -24.1634   -24.0795     4.3997   .000    5
   16.30   -19.7629   -23.7629   -23.6793     4.0000   .000    4
   16.40   -19.7620   -23.3609   -23.2774     3.5989   .000    4
   16.50   -19.7609   -22.9736   -22.8904     3.2128   .000    4
   16.60   -19.7597   -22.6191   -22.5360     2.8595   .000    4
   16.70   -19.7586   -22.3161   -22.2332     2.5575   .000    4
   16.80   -19.7577   -22.0819   -21.9991     2.3242   .000    5
   16.90   -19.7571   -21.9307   -21.8480     2.1737   .000    3
   17.00   -19.7568   -21.8722   -21.7898     2.1154   .000    3
   17.10   -19.7570   -21.9098   -21.8273     2.1528   .000    4
   17.20   -19.7576   -22.0407   -21.9584     2.2830   .000    4
   17.30   -19.7585   -22.2559   -22.1737     2.4973   .000    3
   17.40   -19.7596   -22.5415   -22.4594     2.7819   .000    5
   17.50   -19.7608   -22.8808   -22.7988     3.1200   .000    4
   17.60   -19.7619   -23.2553   -23.1732     3.4934   .000    3
   17.70   -19.7629   -23.6470   -23.5650     3.8841   .000    4
   17.80   -19.7637   -24.0399   -23.9579     4.2762   .000    5
   17.90   -19.7643   -24.4205   -24.3386     4.6563   .000    4
   18.00   -19.7646   -24.7787   -24.6967     5.0140   .000    5
   18.10   -19.7648   -25.1072   -25.0253     5.3424   .000    5
   18.20   -19.7648   -25.4019   -25.3200     5.6372   .000    3
   18.30   -19.7647   -25.6611   -25.5790     5.8964   .000    5
   18.40   -19.7645   -25.8847   -25.8025     6.1202   .000    3
   18.50   -19.7642   -26.0740   -25.9920     6.3098   .000    5
   18.60   -19.7639   -26.2314   -26.1493     6.4674   .000    5
   18.70   -19.7637   -26.3593   -26.2773     6.5956   .000    3
   18.80   -19.7634   -26.4606   -26.3785     6.6972   .000    4
   18.90   -19.7632   -26.5379   -26.4558     6.7747   .000    4
   19.00   -19.7630   -26.5934   -26.5114     6.8304   .000    4
   19.10   -19.7628   -26.6293   -26.5473     6.8664   .000    3
   19.20   -19.7627   -26.6469   -26.5649     6.8842   .000    4
   19.30   -19.7626   -26.6474   -26.5655     6.8848   .000    3
   19.40   -19.7626   -26.6315   -26.5495     6.8689   .000    4
   19.50   -19.7626   -26.5994   -26.5175     6.8368   .000    4
   19.60   -19.7626   -26.5510   -26.4689     6.7884   .000    3
   19.70   -19.7626   -26.4858   -26.4039     6.7233   .000    4
   19.80   -19.7626   -26.4036   -26.3218     6.6410   .000    5
   19.90   -19.7626   -26.3036   -26.2218     6.5410   .000    4
   20.00   -19.7627   -26.1855   -26.1037     6.4228   .000    3
   20.10   -19.7626   -26.0491   -25.9673     6.2864   .000    5
   20.20   -19.7626   -25.8947   -25.8131     6.1321   .000    5
   20.30   -19.7625   -25.7233   -25.6418     5.9608   .000    4
   20.40   -19.7623   -25.5369   -25.4554     5.7745   .000    3
   20.50   -19.7620   -25.3381   -25.2564     5.5761   .000    4
   20.60   -19.7616   -25.1311   -25.0496     5.3695   .000    5
   20.70   -19.7612   -24.9210   -24.8395     5.1597   .000    5
   20.80   -19.7608   -24.7141   -24.6325     4.9532   .000    4
   20.90   -19.7603   -24.5174   -24.4359     4.7571   .000    6
   21.00   -19.7598   -24.3386   -24.2571     4.5789   .000    6
   21.10   -19.7593   -24.1854   -24.1039     4.4262   .000    3
   21.20   -19.7589   -24.0649   -23.9833     4.3060   .000    4
   21.30   -19.7586   -23.9831   -23.9015     4.2245   .000    5
   21.40   -19.7585   -23.9442   -23.8627     4.1857   .000    3
   21.50   -19.7585   -23.9504   -23.8687     4.1919   .000    4
   21.60   -19.7586   -24.0016   -23.9199     4.2429   .000    4
   21.70   -19.7590   -24.0953   -24.0137     4.3364   .000    3
   21.80   -19.7593   -24.2270   -24.1452     4.4676   .000    4
   21.90   -19.7598   -24.3904   -24.3086     4.6306   .000    5
   22.00   -19.7604   -24.5784   -24.4964     4.8180   .000    3
   22.10   -19.7609   -24.7831   -24.7010     5.0222   .000    4
   22.20   -19.7613   -24.9967   -24.9145     5.2354   .000    4
   22.30   -19.7617   -25.2122   -25.1299     5.4504   .000    3
   22.40   -19.7621   -25.4232   -25.3408     5.6611   .000    4
   22.50   -19.7623   -25.6247   -25.5421     5.8624   .000    4
   22.60   -19.7624   -25.8126   -25.7300     6.0502   .000    4
   22.70   -19.7625   -25.9843   -25.9015     6.2218   .000    3
   22.80   -19.7625   -26.1380   -26.0550     6.3755   .000    4
   22.90   -19.7625   -26.2730   -26.1899     6.5105   .000    5
   23.00   -19.7624   -26.3891   -26.3059     6.6267   .000    5
   23.10   -19.7623   -26.4870   -26.4035     6.7246   .000    3
   23.20   -19.7622   -26.5675   -26.4838     6.8052   .000    3
   23.30   -19.7621   -26.6318   -26.5481     6.8697   .000    5
   23.40   -19.7620   -26.6814   -26.5975     6.9194   .000    4
   23.50   -19.7618   -26.7176   -26.6335     6.9558   .000    3
   23.60   -19.7617   -26.7420   -26.6578     6.9803   .000    4
   23.70   -19.7616   -26.7559   -26.6715     6.9944   .000    5
   23.80   -19.7614   -26.7606   -26.6762     6.9992   .000    4
   23.90   -19.7613   -26.7575   -26.6728     6.9962   .000    3
   24.00   -19.7612   -26.7475   -26.6627     6.9863   .000    5
   24.10   -19.7611   -26.7317   -26.6468     6.9706   .000    5
   24.20   -19.7610   -26.7111   -26.6261     6.9500   .000    4
   24.30   -19.7610   -26.6863   -26.6012     6.9254   .000    5
   24.40   -19.7609   -26.6582   -26.5730     6.8973   .000    5
   24.50   -19.7608   -26.6274   -26.5421     6.8666   .000    4
   24.60   -19.7608   -26.5943   -26.5089     6.8335   .000    3
   24.70   -19.7607   -26.5595   -26.4740     6.7988   .000    5
   24.80   -19.7607   -26.5233   -26.4378     6.7626   .000    4
   24.90   -19.7606   -26.4861   -26.4005     6.7255   .000    3
   25.00   -19.7606   -26.4483   -26.3625     6.6877   .000    4
   25.10   -19.7606   -26.4099   -26.3241     6.6494   .000    3
   25.20   -19.7605   -26.3714   -26.2855     6.6108   .000    3
   25.30   -19.7605   -26.3328   -26.2467     6.5722   .000    3
   25.40   -19.7605   -26.2941   -26.2080     6.5336   .000    5
   25.50   -19.7605   -26.2557   -26.1695     6.4953   .000    5
   25.60   -19.7605   -26.2176   -26.1313     6.4572   .000    3
   25.70   -19.7604   -26.1799   -26.0934     6.4195   .000    3
   25.80   -19.7604   -26.1426   -26.0560     6.3822   .000    4
   25.90   -19.7604   -26.1058   -26.0190     6.3454   .000    5
   26.00   -19.7603   -26.0694   -25.9825     6.3091   .000    4
   26.10   -19.7603   -26.0336   -25.9465     6.2733   .000    2
   26.20   -19.7603   -25.9983   -25.9110     6.2380   .000    4
   26.30   -19.7603   -25.9636   -25.8761     6.2033   .001   19
   26.40   -19.7603   -25.9294   -25.8417     6.1691   .001   19
   26.50   -19.7603   -25.8957   -25.8078     6.1354   .001   19
   26.60   -19.7603   -25.8626   -25.7745     6.1023   .001   19
   26.70   -19.7603   -25.8300   -25.7417     6.0697   .001   19
   26.80   -19.7603   -25.7979   -25.7094     6.0376   .001   20
   26.90   -19.7603   -25.7663   -25.6776     6.0060   .001   20
   27.00   -19.7603   -25.7353   -25.6463     5.9750   .001   20
   27.10   -19.7603   -25.7047   -25.6154     5.9444   .001   20
   27.20   -19.7603   -25.6745   -25.5851     5.9143   .000   21
   27.30   -19.7603   -25.6449   -25.5551     5.8846   .000   21
   27.40   -19.7603   -25.6157   -25.5257     5.8554   .000   22
   27.50   -19.7603   -25.5869   -25.4967     5.8267  -.001   22
   27.60   -19.7603   -25.5586   -25.4681     5.7983  -.001   22
   27.70   -19.7603   -25.5307   -25.4399     5.7704  -.002   22
   27.80   -19.7603   -25.5032   -25.4122     5.7429  -.002   22
