   i site, x     y     z      jk_EMT      DFT         Diff
 362  8  0.74 -0.43  1.80  -1.2673290  -1.2289746  -0.0383545
 363  8  0.74 -0.43  2.00  -0.9057170  -0.9146491   0.0089321
 364  8  0.74 -0.43  2.20  -0.5561453  -0.6441223   0.0879770
 365  8  0.74 -0.43  2.40  -0.2912656  -0.4244924   0.1332267
 366  8  0.74 -0.43  2.60  -0.1427234  -0.2713080   0.1285846
 367  8  0.74 -0.43  2.80  -0.0677455  -0.1571038   0.0893583
 368  8  0.74 -0.43  3.00  -0.0328937  -0.0810297   0.0481360
 369  8  0.74 -0.43  3.20  -0.0170492  -0.0303073   0.0132580
 370  8  0.74 -0.43  3.40  -0.0098951  -0.0002770  -0.0096181
 371  8  0.74 -0.43  3.60  -0.0067037   0.0098361  -0.0165398
 372  8  0.74 -0.43  3.80  -0.0052577   0.0175032  -0.0227609
 373  8  0.74 -0.43  4.00  -0.0045156   0.0207252  -0.0252408
 374  8  0.74 -0.43  4.20  -0.0039826   0.0137120  -0.0176947
 375  8  0.74 -0.43  4.40  -0.0034795   0.0129242  -0.0164037
 376  8  0.74 -0.43  4.60  -0.0029563   0.0080707  -0.0110270
 377  8  0.74 -0.43  4.80  -0.0024144   0.0025480  -0.0049624
 378  8  0.74 -0.43  5.00  -0.0018812   0.0020474  -0.0039286
 379  8  0.74 -0.43  5.20  -0.0013866  -0.0002363  -0.0011504
 380  8  0.74 -0.43  5.40  -0.0009474  -0.0000170  -0.0009305
 381  8  0.74 -0.43  5.60  -0.0005659  -0.0000007  -0.0005652
 382  8  0.74 -0.43  5.80  -0.0002438  -0.0000000  -0.0002438
 383  8  0.74 -0.43  6.00   0.0000083  -0.0000000   0.0000084
 384  9  1.24 -0.43 -3.80   3.1667892   2.9132624   0.2535268
 385  9  1.24 -0.43 -3.60   0.2718311   0.2184849   0.0533462
 386  9  1.24 -0.43 -3.40  -0.6406194  -0.6233797  -0.0172396
 387  9  1.24 -0.43 -3.20  -0.7313751  -0.7035204  -0.0278547
 388  9  1.24 -0.43 -3.00  -0.4597942  -0.4388675  -0.0209267
 389  9  1.24 -0.43 -2.80  -0.0505398  -0.0083537  -0.0421860
 390  9  1.24 -0.43 -2.60   0.2881238   0.3663249  -0.0782011
 391  9  1.24 -0.43 -2.40   0.3715391   0.4690538  -0.0975147
 392  9  1.24 -0.43 -2.20   0.1473970   0.2249446  -0.0775476
 393  9  1.24 -0.43 -2.00  -0.2663590  -0.2473435  -0.0190155
 394  9  1.24 -0.43 -1.80  -0.6812113  -0.7447730   0.0635617
 395  9  1.24 -0.43 -1.60  -0.9712501  -1.1056626   0.1344125
 396  9  1.24 -0.43 -1.40  -1.1194357  -1.2949934   0.1755577
 397  9  1.24 -0.43 -1.20  -1.1680154  -1.3706962   0.2026808
 398  9  1.24 -0.43 -1.00  -1.1426471  -1.3734295   0.2307824
 399  9  1.24 -0.43 -0.80  -1.0196947  -1.2559205   0.2362258
 400  9  1.24 -0.43 -0.60  -0.7646742  -0.9527894   0.1881151
 401  9  1.24 -0.43 -0.40  -0.4113169  -0.5293988   0.1180819
 402  9  1.24 -0.43 -0.20  -0.1031688  -0.1460283   0.0428595
 403  9  1.24 -0.43  0.00  -0.0282388  -0.0127115  -0.0155274
 404  9  1.24 -0.43  0.20  -0.2769841  -0.2341936  -0.0427905
 405  9  1.24 -0.43  0.40  -0.7615207  -0.7164917  -0.0450290
 406  9  1.24 -0.43  0.60  -1.2835875  -1.2345825  -0.0490050
 407  9  1.24 -0.43  0.80  -1.6692335  -1.6047610  -0.0644725
 408  9  1.24 -0.43  1.00  -1.8417137  -1.7466544  -0.0950593
 409  9  1.24 -0.43  1.20  -1.8098693  -1.6773423  -0.1325271
 410  9  1.24 -0.43  1.40  -1.6250876  -1.4712948  -0.1537929
 411  9  1.24 -0.43  1.60  -1.3478245  -1.2001648  -0.1476597
 412  9  1.24 -0.43  1.80  -1.0308091  -0.9246853  -0.1061239
 413  9  1.24 -0.43  2.00  -0.7112328  -0.6730778  -0.0381550
 414  9  1.24 -0.43  2.20  -0.4140700  -0.4654772   0.0514072
 415  9  1.24 -0.43  2.40  -0.2171433  -0.3083497   0.0912064
 416  9  1.24 -0.43  2.60  -0.1072022  -0.1936394   0.0864373
 417  9  1.24 -0.43  2.80  -0.0518748  -0.1093680   0.0574932
 418  9  1.24 -0.43  3.00  -0.0258912  -0.0528078   0.0269166
 419  9  1.24 -0.43  3.20  -0.0139953  -0.0176947   0.0036994
 420  9  1.24 -0.43  3.40  -0.0086314   0.0022931  -0.0109245
 421  9  1.24 -0.43  3.60  -0.0062494   0.0143372  -0.0205866
 422  9  1.24 -0.43  3.80  -0.0051427   0.0190092  -0.0241520
 423  9  1.24 -0.43  4.00  -0.0045037   0.0196527  -0.0241564
 424  9  1.24 -0.43  4.20  -0.0040086   0.0168671  -0.0208757
 425  9  1.24 -0.43  4.40  -0.0035119   0.0148799  -0.0183918
 426  9  1.24 -0.43  4.60  -0.0029851   0.0128061  -0.0157912
 427  9  1.24 -0.43  4.80  -0.0024347   0.0059434  -0.0083782
 428  9  1.24 -0.43  5.00  -0.0018921   0.0003105  -0.0022026
 429  9  1.24 -0.43  5.20  -0.0013948  -0.0000838  -0.0013110
 430  9  1.24 -0.43  5.40  -0.0009583  -0.0000041  -0.0009542
 431  9  1.24 -0.43  5.60  -0.0005785  -0.0000002  -0.0005784
 432  9  1.24 -0.43  5.80  -0.0002554  -0.0000000  -0.0002554
 433  9  1.24 -0.43  6.00  -0.0000047  -0.0000000  -0.0000047
 434 10  1.49 -0.86 -3.80   7.0795160   6.3834163   0.6960997
 435 10  1.49 -0.86 -3.60   1.3667311   1.1771556   0.1895755
 436 10  1.49 -0.86 -3.40  -0.4991558  -0.5657694   0.0666137
 437 10  1.49 -0.86 -3.20  -1.0240881  -1.0293406   0.0052525
 438 10  1.49 -0.86 -3.00  -1.1174713  -1.0983857  -0.0190856
 439 10  1.49 -0.86 -2.80  -1.0857216  -1.0546171  -0.0311045
 440 10  1.49 -0.86 -2.60  -1.0435948  -0.9957644  -0.0478304
 441 10  1.49 -0.86 -2.40  -1.0413499  -0.9845208  -0.0568292
 442 10  1.49 -0.86 -2.20  -1.0861071  -1.0367939  -0.0493132
 443 10  1.49 -0.86 -2.00  -1.1493283  -1.1403084  -0.0090199
 444 10  1.49 -0.86 -1.80  -1.1911338  -1.2422630   0.0511292
 445 10  1.49 -0.86 -1.60  -1.1933137  -1.3045829   0.1112691
 446 10  1.49 -0.86 -1.40  -1.1754482  -1.3332698   0.1578216
 447 10  1.49 -0.86 -1.20  -1.1773397  -1.3656485   0.1883087
 448 10  1.49 -0.86 -1.00  -1.2207245  -1.4213759   0.2006514
 449 10  1.49 -0.86 -0.80  -1.2891257  -1.4758543   0.1867285
 450 10  1.49 -0.86 -0.60  -1.3484606  -1.5141074   0.1656469
 451 10  1.49 -0.86 -0.40  -1.3848672  -1.4858655   0.1009983
 452 10  1.49 -0.86 -0.20  -1.4199336  -1.4483399   0.0284063
 453 10  1.49 -0.86  0.00  -1.4908863  -1.4706973  -0.0201890
 454 10  1.49 -0.86  0.20  -1.6152269  -1.5583004  -0.0569265
 455 10  1.49 -0.86  0.40  -1.7706858  -1.6764304  -0.0942553
 456 10  1.49 -0.86  0.60  -1.9050154  -1.7680199  -0.1369956
 457 10  1.49 -0.86  0.80  -1.9645906  -1.7849879  -0.1796027
 458 10  1.49 -0.86  1.00  -1.9188650  -1.7017188  -0.2171462
 459 10  1.49 -0.86  1.20  -1.7675721  -1.5273974  -0.2401747
 460 10  1.49 -0.86  1.40  -1.5334294  -1.3012644  -0.2321650
 461 10  1.49 -0.86  1.60  -1.2488399  -1.0502003  -0.1986396
 462 10  1.49 -0.86  1.80  -0.9444720  -0.7975023  -0.1469697
 463 10  1.49 -0.86  2.00  -0.6436750  -0.5739560  -0.0697189
 464 10  1.49 -0.86  2.20  -0.3689339  -0.3918851   0.0229513
 465 10  1.49 -0.86  2.40  -0.1936786  -0.2683912   0.0747127
 466 10  1.49 -0.86  2.60  -0.0960258  -0.1844418   0.0884159
 467 10  1.49 -0.86  2.80  -0.0468218  -0.1052700   0.0584481
 468 10  1.49 -0.86  3.00  -0.0236380  -0.0488521   0.0252141
 469 10  1.49 -0.86  3.20  -0.0130173  -0.0120029  -0.0010143
 470 10  1.49 -0.86  3.40  -0.0082413   0.0104417  -0.0186830
 471 10  1.49 -0.86  3.60  -0.0061235   0.0225441  -0.0286676
 472 10  1.49 -0.86  3.80  -0.0051172   0.0220783  -0.0271956
 473 10  1.49 -0.86  4.00  -0.0045018   0.0150484  -0.0195502
 474 10  1.49 -0.86  4.20  -0.0040017   0.0159219  -0.0199235
 475 10  1.49 -0.86  4.40  -0.0035248   0.0156328  -0.0191576
 476 10  1.49 -0.86  4.60  -0.0030019   0.0143186  -0.0173205
 477 10  1.49 -0.86  4.80  -0.0024457   0.0090134  -0.0114591
 478 10  1.49 -0.86  5.00  -0.0018945  -0.0002164  -0.0016781
 479 10  1.49 -0.86  5.20  -0.0013926  -0.0000270  -0.0013656
 480 10  1.49 -0.86  5.40  -0.0009545  -0.0000012  -0.0009532
 481 10  1.49 -0.86  5.60  -0.0005731  -0.0000000  -0.0005731
 482 10  1.49 -0.86  5.80  -0.0002497  -0.0000000  -0.0002497
 483 10  1.49 -0.86  6.00   0.0000000  -0.0000000   0.0000000
 rms error=  0.10472538607549024     
