   i site, x     y     z      jk_EMT      DFT         Diff
  85  2  0.50  0.00  4.20  -0.0039569   0.0146797  -0.0186366
  86  2  0.50  0.00  4.40  -0.0034474   0.0069760  -0.0104234
  87  2  0.50  0.00  4.60  -0.0029264   0.0017621  -0.0046886
  88  2  0.50  0.00  4.80  -0.0023934   0.0022573  -0.0046507
  89  2  0.50  0.00  5.00  -0.0018647   0.0024335  -0.0042982
  90  2  0.50  0.00  5.20  -0.0013666  -0.0002366  -0.0011300
  91  2  0.50  0.00  5.40  -0.0009224  -0.0000343  -0.0008881
  92  2  0.50  0.00  5.60  -0.0005335  -0.0000014  -0.0005322
  93  2  0.50  0.00  5.80  -0.0002101  -0.0000000  -0.0002101
  94  2  0.50  0.00  6.00   0.0000424  -0.0000000   0.0000424
  95  3  0.99  0.00 -5.00   8.4485172   8.7457885  -0.2972713
  96  3  0.99  0.00 -4.80   9.2096238   9.2766579  -0.0670342
  97  3  0.99  0.00 -4.60   7.8018882   7.7267423   0.0751460
  98  3  0.99  0.00 -4.40   5.0949056   4.9935617   0.1013439
  99  3  0.99  0.00 -4.20   2.4226629   2.3426122   0.0800508
 100  3  0.99  0.00 -4.00   0.5624511   0.5138388   0.0486123
 101  3  0.99  0.00 -3.80  -0.3896113  -0.3888886  -0.0007227
 102  3  0.99  0.00 -3.60  -0.6031798  -0.5758340  -0.0273458
 103  3  0.99  0.00 -3.40  -0.1465905  -0.1531257   0.0065352
 104  3  0.99  0.00 -3.20   1.1117578   1.0779073   0.0338505
 105  3  0.99  0.00 -3.00   3.2994253   3.2531290   0.0462963
 106  3  0.99  0.00 -2.80   6.1133258   6.0474178   0.0659080
 107  3  0.99  0.00 -2.60   8.5139201   8.4697615   0.0441586
 108  3  0.99  0.00 -2.40   9.1851412   9.2506245  -0.0654833
 109  3  0.99  0.00 -2.20   7.6970446   7.9126392  -0.2155945
 110  3  0.99  0.00 -2.00   4.9591734   5.2248063  -0.2656329
 111  3  0.99  0.00 -1.80   2.2983099   2.4735217  -0.1752118
 112  3  0.99  0.00 -1.60   0.4593177   0.4923278  -0.0330101
 113  3  0.99  0.00 -1.40  -0.4914792  -0.5525728   0.0610936
 114  3  0.99  0.00 -1.20  -0.7495507  -0.8596257   0.1100749
 115  3  0.99  0.00 -1.00  -0.4087267  -0.5584955   0.1497689
 116  3  0.99  0.00 -0.80   0.6561366   0.5209166   0.1352200
 117  3  0.99  0.00 -0.60   2.6246445   2.5478787   0.0767658
 118  3  0.99  0.00 -0.40   5.3287170   5.2716839   0.0570331
 119  3  0.99  0.00 -0.20   7.8723843   7.7803161   0.0920682
 120  3  0.99  0.00  0.00   8.9024681   8.7915874   0.1108808
 121  3  0.99  0.00  0.20   7.7224248   7.6724774   0.0499474
 122  3  0.99  0.00  0.40   5.0143068   5.0456837  -0.0313769
 123  3  0.99  0.00  0.60   2.1325373   2.1902593  -0.0577220
 124  3  0.99  0.00  0.80  -0.0074508   0.0219235  -0.0293743
 125  3  0.99  0.00  1.00  -1.2163271  -1.2133772  -0.0029498
 126  3  0.99  0.00  1.20  -1.6991187  -1.6855557  -0.0135630
 127  3  0.99  0.00  1.40  -1.7292176  -1.6889279  -0.0402898
 128  3  0.99  0.00  1.60  -1.5159720  -1.4509945  -0.0649775
 129  3  0.99  0.00  1.80  -1.1937069  -1.1363883  -0.0573186
 130  3  0.99  0.00  2.00  -0.8436702  -0.8375990  -0.0060711
 131  3  0.99  0.00  2.20  -0.5098087  -0.5839265   0.0741179
 132  3  0.99  0.00  2.40  -0.2666640  -0.3854640   0.1188000
 133  3  0.99  0.00  2.60  -0.1308350  -0.2385093   0.1076743
 134  3  0.99  0.00  2.80  -0.0624063  -0.1405447   0.0781384
 135  3  0.99  0.00  3.00  -0.0305329  -0.0723379   0.0418050
 136  3  0.99  0.00  3.20  -0.0160175  -0.0265398   0.0105222
 137  3  0.99  0.00  3.40  -0.0094603  -0.0010976  -0.0083626
 138  3  0.99  0.00  3.60  -0.0065348   0.0135677  -0.0201025
 139  3  0.99  0.00  3.80  -0.0052066   0.0144305  -0.0196372
 140  3  0.99  0.00  4.00  -0.0045096   0.0178215  -0.0223312
 141  3  0.99  0.00  4.20  -0.0039910   0.0191834  -0.0231744
 142  3  0.99  0.00  4.40  -0.0034878   0.0146111  -0.0180989
 143  3  0.99  0.00  4.60  -0.0029599   0.0076692  -0.0106290
 144  3  0.99  0.00  4.80  -0.0024181   0.0035952  -0.0060133
 145  3  0.99  0.00  5.00  -0.0018842   0.0016942  -0.0035784
 146  3  0.99  0.00  5.20  -0.0013892  -0.0001945  -0.0011947
 147  3  0.99  0.00  5.40  -0.0009533  -0.0000119  -0.0009414
 148  3  0.99  0.00  5.60  -0.0005723  -0.0000005  -0.0005718
 149  3  0.99  0.00  5.80  -0.0002513  -0.0000000  -0.0002513
 150  3  0.99  0.00  6.00  -0.0000002  -0.0000000  -0.0000002
 151  4  1.49  0.00 -4.20   5.6850676   5.4375632   0.2475044
 152  4  1.49  0.00 -4.00   2.0917281   2.0254535   0.0662746
 153  4  1.49  0.00 -3.80   0.3168925   0.3519396  -0.0350471
 154  4  1.49  0.00 -3.60  -0.0744761   0.0026272  -0.0771032
 155  4  1.49  0.00 -3.40   0.7671679   0.7998131  -0.0326452
 156  4  1.49  0.00 -3.20   3.1394036   3.0880379   0.0513657
 157  4  1.49  0.00 -3.00   7.4350211   7.1931685   0.2418526
 158  4  1.49  0.00 -1.80   5.4424901   5.7536036  -0.3111136
 159  4  1.49  0.00 -1.60   1.8565445   1.9778239  -0.1212794
 160  4  1.49  0.00 -1.40  -0.0307064  -0.1039060   0.0731996
 161  4  1.49  0.00 -1.20  -0.8439619  -1.0108982   0.1669364
 162  4  1.49  0.00 -1.00  -1.1146655  -1.2988025   0.1841370
 163  4  1.49  0.00 -0.80  -1.1281045  -1.3110137   0.1829091
 164  4  1.49  0.00 -0.60  -0.9983429  -1.1549471   0.1566041
 165  4  1.49  0.00 -0.40  -0.7985041  -0.8850941   0.0865899
 166  4  1.49  0.00 -0.20  -0.6341464  -0.6455535   0.0114071
 167  4  1.49  0.00  0.00  -0.6232422  -0.5713662  -0.0518760
 168  4  1.49  0.00  0.20  -0.8196054  -0.7367794  -0.0828259
 169  4  1.49  0.00  0.40  -1.1671304  -1.0807452  -0.0863852
 170  4  1.49  0.00  0.60  -1.5364316  -1.4466898  -0.0897418
 171  4  1.49  0.00  0.80  -1.8041650  -1.6958672  -0.1082978
 172  4  1.49  0.00  1.00  -1.9052169  -1.7661806  -0.1390363
 173  4  1.49  0.00  1.20  -1.8365502  -1.6728528  -0.1636974
 174  4  1.49  0.00  1.40  -1.6349436  -1.4546897  -0.1802538
 175  4  1.49  0.00  1.60  -1.3512819  -1.1828071  -0.1684748
 176  4  1.49  0.00  1.80  -1.0326422  -0.9138673  -0.1187749
 177  4  1.49  0.00  2.00  -0.7129287  -0.6629426  -0.0499861
 178  4  1.49  0.00  2.20  -0.4154697  -0.4611200   0.0456503
 179  4  1.49  0.00  2.40  -0.2177428  -0.3027952   0.0850523
 180  4  1.49  0.00  2.60  -0.1074132  -0.1874779   0.0800647
 181  4  1.49  0.00  2.80  -0.0519193  -0.1077147   0.0557955
 182  4  1.49  0.00  3.00  -0.0258827  -0.0477231   0.0218404
 183  4  1.49  0.00  3.20  -0.0139794  -0.0118978  -0.0020816
 184  4  1.49  0.00  3.40  -0.0086057  -0.0030610  -0.0055447
 185  4  1.49  0.00  3.60  -0.0062174   0.0083314  -0.0145487
 186  4  1.49  0.00  3.80  -0.0051224   0.0167569  -0.0218794
 187  4  1.49  0.00  4.00  -0.0044979   0.0204306  -0.0249285
 188  4  1.49  0.00  4.20  -0.0040071   0.0210070  -0.0250141
 189  4  1.49  0.00  4.40  -0.0035041   0.0171961  -0.0207002
 190  4  1.49  0.00  4.60  -0.0029747   0.0086737  -0.0116484
 191  4  1.49  0.00  4.80  -0.0024275   0.0072670  -0.0096945
 192  4  1.49  0.00  5.00  -0.0018864   0.0001256  -0.0020120
 193  4  1.49  0.00  5.20  -0.0013897  -0.0000605  -0.0013292
 194  4  1.49  0.00  5.40  -0.0009559  -0.0000029  -0.0009530
 195  4  1.49  0.00  5.60  -0.0005780  -0.0000001  -0.0005779
 196  4  1.49  0.00  5.80  -0.0002587  -0.0000000  -0.0002587
 197  4  1.49  0.00  6.00  -0.0000075  -0.0000000  -0.0000075
 198  5  0.74  0.43 -5.00  -0.3088082  -0.0719282  -0.2368800
 199  5  0.74  0.43 -4.80  -0.2372000  -0.0124184  -0.2247817
 200  5  0.74  0.43 -4.60  -0.3570495  -0.1863398  -0.1707097
 201  5  0.74  0.43 -4.40  -0.6028261  -0.4980660  -0.1047602
 202  5  0.74  0.43 -4.20  -0.8550733  -0.7952473  -0.0598260
 203  5  0.74  0.43 -4.00  -1.0064850  -0.9562869  -0.0501981
 204  5  0.74  0.43 -3.80  -0.9638158  -0.9398988  -0.0239170
 205  5  0.74  0.43 -3.60  -0.5574703  -0.5915007   0.0340304
 206  5  0.74  0.43 -3.40   0.5861213   0.5117155   0.0744058
 207  5  0.74  0.43 -3.20   3.0642952   2.9400775   0.1242178
 208  5  0.74  0.43 -3.00   7.3982095   7.1223919   0.2758176
 209  5  0.74  0.43 -1.80   5.4713330   5.8347592  -0.3634261
 210  5  0.74  0.43 -1.60   1.9312038   2.1554816  -0.2242778
 211  5  0.74  0.43 -1.40   0.1666764   0.2491418  -0.0824654
 212  5  0.74  0.43 -1.20  -0.2948857  -0.2783280  -0.0165577
 213  5  0.74  0.43 -1.00   0.3542775   0.3287761   0.0255014
 214  5  0.74  0.43 -0.80   2.3870729   2.3563695   0.0307034
 215  5  0.74  0.43 -0.60   6.2684103   6.1963985   0.0720117
 216  5  0.74  0.43  0.60   5.7664390   5.7932123  -0.0267733
 217  5  0.74  0.43  0.80   1.6845959   1.7534854  -0.0688894
 218  5  0.74  0.43  1.00  -0.5617080  -0.5397936  -0.0219144
 219  5  0.74  0.43  1.20  -1.5175203  -1.5231064   0.0055861
 220  5  0.74  0.43  1.40  -1.7357269  -1.7190804  -0.0166465
 221  5  0.74  0.43  1.60  -1.5836825  -1.5399970  -0.0436855
 222  5  0.74  0.43  1.80  -1.2698266  -1.2363818  -0.0334448
 223  5  0.74  0.43  2.00  -0.9084923  -0.9169547   0.0084624
 224  5  0.74  0.43  2.20  -0.5587177  -0.6459753   0.0872575
 225  5  0.74  0.43  2.40  -0.2925655  -0.4293273   0.1367617
 226  5  0.74  0.43  2.60  -0.1432468  -0.2667461   0.1234993
 227  5  0.74  0.43  2.80  -0.0679206  -0.1569799   0.0890593
 228  5  0.74  0.43  3.00  -0.0329417  -0.0810290   0.0480874
 229  5  0.74  0.43  3.20  -0.0170580  -0.0303073   0.0132492
 230  5  0.74  0.43  3.40  -0.0098911  -0.0002770  -0.0096141
 231  5  0.74  0.43  3.60  -0.0066962   0.0098361  -0.0165322
 232  5  0.74  0.43  3.80  -0.0052512   0.0175032  -0.0227544
 233  5  0.74  0.43  4.00  -0.0045129   0.0207252  -0.0252381
 234  5  0.74  0.43  4.20  -0.0039808   0.0137120  -0.0176928
 235  5  0.74  0.43  4.40  -0.0034755   0.0129242  -0.0163997
 236  5  0.74  0.43  4.60  -0.0029502   0.0080707  -0.0110208
 237  5  0.74  0.43  4.80  -0.0024093   0.0025480  -0.0049573
 238  5  0.74  0.43  5.00  -0.0018746   0.0020474  -0.0039220
 239  5  0.74  0.43  5.20  -0.0013799  -0.0002363  -0.0011436
 240  5  0.74  0.43  5.40  -0.0009412  -0.0000170  -0.0009243
 241  5  0.74  0.43  5.60  -0.0005604  -0.0000007  -0.0005597
 242  5  0.74  0.43  5.80  -0.0002399  -0.0000000  -0.0002399
 243  5  0.74  0.43  6.00   0.0000111  -0.0000000   0.0000112
 244  6  1.24  0.43 -5.00   0.2675544   0.4467244  -0.1791700
 245  6  1.24  0.43 -4.80   0.3859270   0.5437736  -0.1578466
 246  6  1.24  0.43 -4.60   0.1949903   0.2983965  -0.1034062
 247  6  1.24  0.43 -4.40  -0.1946857  -0.1430774  -0.0516083
 248  6  1.24  0.43 -4.20  -0.5793264  -0.5438480  -0.0354784
 249  6  1.24  0.43 -4.00  -0.7542145  -0.7110814  -0.0431331
 250  6  1.24  0.43 -3.80  -0.4496668  -0.4251176  -0.0245492
 251  6  1.24  0.43 -3.60   0.9781791   0.9361607   0.0420184
 252  6  1.24  0.43 -3.40   5.0959210   4.8338686   0.2620524
 253  6  1.24  0.43 -1.40   2.9572511   3.2467985  -0.2895474
 254  6  1.24  0.43 -1.20   0.1450625   0.1471229  -0.0020604
 255  6  1.24  0.43 -1.00  -0.7639143  -0.8891321   0.1252178
