 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.6615   -24.9218   -24.8416     5.2603  1.000   17
     .10   -19.6615   -24.9220   -24.8417     5.2605  1.000    9
     .20   -19.6615   -24.9222   -24.8419     5.2607  1.000    8
     .30   -19.6615   -24.9224   -24.8421     5.2609  1.000    7
     .40   -19.6615   -24.9226   -24.8423     5.2610  1.000    8
     .50   -19.6615   -24.9227   -24.8424     5.2612  1.000    7
     .60   -19.6615   -24.9229   -24.8426     5.2614  1.000    7
     .70   -19.6615   -24.9231   -24.8428     5.2616  1.000    6
     .80   -19.6614   -24.9231   -24.8429     5.2618  1.000    5
     .90   -19.6615   -24.9235   -24.8432     5.2619  1.000    6
    1.00   -19.6615   -24.9236   -24.8434     5.2621  1.000    9
    1.10   -19.6615   -24.9238   -24.8435     5.2623  1.000    6
    1.20   -19.6615   -24.9240   -24.8437     5.2625  1.000    7
    1.30   -19.6615   -24.9242   -24.8439     5.2627  1.000    6
    1.40   -19.6615   -24.9244   -24.8441     5.2629  1.000    7
    1.50   -19.6615   -24.9246   -24.8443     5.2631  1.000    7
    1.60   -19.6615   -24.9247   -24.8445     5.2632  1.000    7
    1.70   -19.6615   -24.9250   -24.8447     5.2634  1.000    8
    1.80   -19.6615   -24.9251   -24.8449     5.2636  1.000    7
    1.90   -19.6615   -24.9253   -24.8450     5.2638  1.000    7
    2.00   -19.6615   -24.9255   -24.8452     5.2640  1.000    8
    2.10   -19.6615   -24.9257   -24.8454     5.2642  1.000    7
    2.20   -19.6615   -24.9259   -24.8456     5.2644  1.000    6
    2.30   -19.6615   -24.9261   -24.8458     5.2646  1.000    6
    2.40   -19.6615   -24.9263   -24.8460     5.2648  1.000    7
    2.50   -19.6615   -24.9265   -24.8462     5.2650  1.000    5
    2.60   -19.6615   -24.9267   -24.8464     5.2652  1.000    6
    2.70   -19.6615   -24.9269   -24.8466     5.2654  1.000    8
    2.80   -19.6615   -24.9270   -24.8468     5.2656  1.000    6
    2.90   -19.6615   -24.9273   -24.8470     5.2658  1.000    6
    3.00   -19.6615   -24.9275   -24.8472     5.2660  1.000    6
    3.10   -19.6615   -24.9277   -24.8474     5.2662  1.000    7
    3.20   -19.6613   -24.9276   -24.8474     5.2664   .999    4
    3.30   -19.6615   -24.9280   -24.8478     5.2666   .999    8
    3.40   -19.6615   -24.9282   -24.8480     5.2668   .999    7
    3.50   -19.6615   -24.9284   -24.8482     5.2670   .999    7
    3.60   -19.6615   -24.9286   -24.8484     5.2672   .999    6
    3.70   -19.6615   -24.9288   -24.8486     5.2673   .999    6
    3.80   -19.6615   -24.9290   -24.8487     5.2675   .999    7
    3.90   -19.6615   -24.9292   -24.8489     5.2677   .999    7
    4.00   -19.6615   -24.9294   -24.8491     5.2679   .998    6
    4.10   -19.6613   -24.9294   -24.8491     5.2681   .998    4
    4.20   -19.6614   -24.9297   -24.8495     5.2683   .998   10
    4.30   -19.6615   -24.9299   -24.8497     5.2685   .998    6
    4.40   -19.6615   -24.9301   -24.8499     5.2687   .998    8
    4.50   -19.6615   -24.9303   -24.8501     5.2689   .998    6
    4.60   -19.6614   -24.9305   -24.8502     5.2690   .997    5
    4.70   -19.6615   -24.9307   -24.8504     5.2692   .997    6
    4.80   -19.6615   -24.9308   -24.8506     5.2694   .997    6
    4.90   -19.6614   -24.9310   -24.8508     5.2696   .997    4
    5.00   -19.6614   -24.9312   -24.8509     5.2697   .996    5
    5.10   -19.6614   -24.9313   -24.8511     5.2699   .996    4
    5.20   -19.6614   -24.9315   -24.8513     5.2701   .996    5
    5.30   -19.6614   -24.9317   -24.8515     5.2703   .995    5
    5.40   -19.6614   -24.9319   -24.8516     5.2704   .995    5
    5.50   -19.6614   -24.9320   -24.8518     5.2706   .995    4
    5.60   -19.6614   -24.9322   -24.8520     5.2708   .994    5
    5.70   -19.6614   -24.9324   -24.8521     5.2710   .994    5
    5.80   -19.6614   -24.9325   -24.8523     5.2711   .993    5
    5.90   -19.6614   -24.9327   -24.8525     5.2713   .993    4
    6.00   -19.6614   -24.9329   -24.8526     5.2715   .992    4
    6.10   -19.6614   -24.9330   -24.8528     5.2716   .992    5
    6.20   -19.6614   -24.9332   -24.8530     5.2718   .991    4
    6.30   -19.6614   -24.9334   -24.8531     5.2720   .991    4
    6.40   -19.6614   -24.9335   -24.8533     5.2722   .990    5
    6.50   -19.6614   -24.9337   -24.8535     5.2723   .989    4
    6.60   -19.6614   -24.9339   -24.8537     5.2725   .989    4
    6.70   -19.6614   -24.9341   -24.8539     5.2727   .988    4
    6.80   -19.6614   -24.9343   -24.8540     5.2729   .987    4
    6.90   -19.6614   -24.9345   -24.8542     5.2731   .986    4
    7.00   -19.6614   -24.9347   -24.8545     5.2733   .985    4
    7.10   -19.6614   -24.9349   -24.8547     5.2736   .984    4
    7.20   -19.6613   -24.9351   -24.8549     5.2738   .983    4
    7.30   -19.6614   -24.9354   -24.8552     5.2740   .982    5
    7.40   -19.6613   -24.9357   -24.8554     5.2743   .981    4
    7.50   -19.6614   -24.9359   -24.8557     5.2746   .980    5
    7.60   -19.6613   -24.9363   -24.8560     5.2749   .979    4
    7.70   -19.6613   -24.9366   -24.8563     5.2752   .977    3
    7.80   -19.6613   -24.9369   -24.8567     5.2756   .976    4
    7.90   -19.6613   -24.9373   -24.8571     5.2760   .974    3
    8.00   -19.6613   -24.9377   -24.8575     5.2764   .972    3
    8.10   -19.6613   -24.9382   -24.8580     5.2769   .971    4
    8.20   -19.6613   -24.9387   -24.8585     5.2774   .969    4
    8.30   -19.6613   -24.9393   -24.8590     5.2780   .966    4
    8.40   -19.6613   -24.9399   -24.8597     5.2786   .964    3
    8.50   -19.6613   -24.9406   -24.8603     5.2793   .962    3
    8.60   -19.6613   -24.9413   -24.8611     5.2801   .959    4
    8.70   -19.6613   -24.9422   -24.8620     5.2809   .957    3
    8.80   -19.6613   -24.9431   -24.8629     5.2819   .954    3
    8.90   -19.6612   -24.9442   -24.8640     5.2829   .951    3
    9.00   -19.6612   -24.9454   -24.8651     5.2841   .947    3
    9.10   -19.6612   -24.9467   -24.8665     5.2854   .944    3
    9.20   -19.6612   -24.9481   -24.8679     5.2869   .940    3
    9.30   -19.6612   -24.9498   -24.8696     5.2886   .936    3
    9.40   -19.6612   -24.9516   -24.8714     5.2904   .931    3
    9.50   -19.6612   -24.9537   -24.8735     5.2925   .926    3
    9.60   -19.6612   -24.9560   -24.8758     5.2948   .921    3
    9.70   -19.6612   -24.9586   -24.8784     5.2975   .916    3
    9.80   -19.6612   -24.9616   -24.8814     5.3004   .910    4
