 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.8607   -25.0032   -24.9229     5.1425  1.000   16
     .10   -19.8607   -25.0034   -24.9231     5.1427  1.000    9
     .20   -19.8607   -25.0036   -24.9233     5.1429  1.000    8
     .30   -19.8607   -25.0038   -24.9235     5.1432  1.000    6
     .40   -19.8607   -25.0040   -24.9237     5.1434  1.000    7
     .50   -19.8607   -25.0043   -24.9240     5.1436  1.000    9
     .60   -19.8607   -25.0045   -24.9242     5.1438  1.000    8
     .70   -19.8607   -25.0047   -24.9244     5.1440  1.000    8
     .80   -19.8607   -25.0049   -24.9246     5.1442  1.000    7
     .90   -19.8607   -25.0051   -24.9248     5.1444  1.000    6
    1.00   -19.8607   -25.0053   -24.9250     5.1447  1.000    7
    1.10   -19.8607   -25.0056   -24.9252     5.1449  1.000    7
    1.20   -19.8607   -25.0058   -24.9254     5.1451  1.000    6
    1.30   -19.8607   -25.0060   -24.9257     5.1453  1.000    6
    1.40   -19.8607   -25.0063   -24.9259     5.1456  1.000    7
    1.50   -19.8607   -25.0065   -24.9261     5.1458  1.000    7
    1.60   -19.8607   -25.0067   -24.9264     5.1460  1.000    8
    1.70   -19.8606   -25.0069   -24.9265     5.1462  1.000    7
    1.80   -19.8607   -25.0072   -24.9268     5.1465  1.000    8
    1.90   -19.8607   -25.0074   -24.9271     5.1467  1.000    9
     .00   -19.7908   -24.9240   -24.8452     5.1332  1.000   16
     .10   -19.7908   -24.9244   -24.8456     5.1336  1.000    8
     .20   -19.7908   -24.9248   -24.8460     5.1339  1.000    8
     .30   -19.7908   -24.9251   -24.8463     5.1343  1.000    7
     .40   -19.7908   -24.9255   -24.8467     5.1347  1.000    7
     .50   -19.7908   -24.9259   -24.8471     5.1350  1.000    8
     .60   -19.7908   -24.9262   -24.8474     5.1354  1.000    9
     .70   -19.7908   -24.9266   -24.8478     5.1358  1.000    8
     .80   -19.7907   -24.9269   -24.8481     5.1362  1.000    8
     .90   -19.7908   -24.9274   -24.8485     5.1365  1.000    7
    1.00   -19.7908   -24.9277   -24.8489     5.1369  1.000    6
    1.10   -19.7908   -24.9281   -24.8493     5.1373  1.000    7
    1.20   -19.7905   -24.9282   -24.8494     5.1377  1.000    5
    1.30   -19.7908   -24.9289   -24.8501     5.1381  1.000    7
    1.40   -19.7908   -24.9293   -24.8505     5.1385  1.000    9
    1.50   -19.7908   -24.9297   -24.8508     5.1388  1.000    7
    1.60   -19.7908   -24.9301   -24.8512     5.1392  1.000    8
    1.70   -19.7908   -24.9304   -24.8516     5.1396  1.000    8
    1.80   -19.7908   -24.9308   -24.8520     5.1400  1.000    6
    1.90   -19.7908   -24.9312   -24.8524     5.1404  1.000    8
     .00   -19.6615   -24.9218   -24.8416     5.2603  1.000   17
     .10   -19.6615   -24.9220   -24.8417     5.2605  1.000    9
     .20   -19.6615   -24.9222   -24.8419     5.2607  1.000    8
     .30   -19.6615   -24.9224   -24.8421     5.2609  1.000    7
     .40   -19.6615   -24.9226   -24.8423     5.2610  1.000    8
     .50   -19.6615   -24.9227   -24.8424     5.2612  1.000    7
     .60   -19.6615   -24.9229   -24.8426     5.2614  1.000    7
     .70   -19.6615   -24.9231   -24.8428     5.2616  1.000    6
     .80   -19.6614   -24.9231   -24.8429     5.2618  1.000    5
     .90   -19.6615   -24.9235   -24.8432     5.2619  1.000    6
    1.00   -19.6615   -24.9236   -24.8434     5.2621  1.000    9
    1.10   -19.6615   -24.9238   -24.8435     5.2623  1.000    6
    1.20   -19.6615   -24.9240   -24.8437     5.2625  1.000    7
    1.30   -19.6615   -24.9242   -24.8439     5.2627  1.000    6
    1.40   -19.6615   -24.9244   -24.8441     5.2629  1.000    7
    1.50   -19.6615   -24.9246   -24.8443     5.2631  1.000    7
    1.60   -19.6615   -24.9247   -24.8445     5.2632  1.000    7
    1.70   -19.6615   -24.9250   -24.8447     5.2634  1.000    8
    1.80   -19.6615   -24.9251   -24.8449     5.2636  1.000    7
    1.90   -19.6615   -24.9253   -24.8450     5.2638  1.000    7
     .00   -19.7464   -24.9481   -24.8685     5.2016   .999   16
     .10   -19.7464   -24.9481   -24.8686     5.2017  1.000    8
     .20   -19.7464   -24.9482   -24.8687     5.2018  1.000    9
     .30   -19.7464   -24.9483   -24.8688     5.2019  1.000   10
     .40   -19.7464   -24.9484   -24.8689     5.2020  1.000    7
     .50   -19.7464   -24.9485   -24.8690     5.2021  1.000    8
     .60   -19.7464   -24.9487   -24.8691     5.2022  1.000    8
     .70   -19.7464   -24.9488   -24.8692     5.2023  1.000    8
     .80   -19.7464   -24.9489   -24.8693     5.2025  1.000    8
     .90   -19.7464   -24.9490   -24.8694     5.2026  1.000    7
    1.00   -19.7464   -24.9491   -24.8695     5.2027  1.000    7
    1.10   -19.7464   -24.9492   -24.8696     5.2028  1.000    8
    1.20   -19.7464   -24.9493   -24.8697     5.2029  1.000    8
    1.30   -19.7464   -24.9494   -24.8698     5.2030  1.000    7
    1.40   -19.7464   -24.9495   -24.8700     5.2031  1.000    7
    1.50   -19.7464   -24.9496   -24.8700     5.2032  1.000    7
    1.60   -19.7461   -24.9495   -24.8699     5.2034  1.000    4
    1.70   -19.7464   -24.9499   -24.8703     5.2035  1.000    8
    1.80   -19.7464   -24.9500   -24.8704     5.2036  1.000    7
    1.90   -19.7464   -24.9501   -24.8705     5.2037  1.000    7
     .00   -19.7612   -24.9643   -24.8835     5.2031  1.000   17
     .10   -19.7611   -24.9644   -24.8836     5.2033  1.000    8
     .20   -19.7611   -24.9645   -24.8838     5.2034  1.000    8
     .30   -19.7611   -24.9647   -24.8839     5.2036  1.000    6
     .40   -19.7611   -24.9649   -24.8841     5.2037  1.000    8
     .50   -19.7612   -24.9651   -24.8843     5.2039  1.000    7
     .60   -19.7605   -24.9645   -24.8838     5.2041  1.000    4
     .70   -19.7611   -24.9654   -24.8846     5.2042  1.000    7
     .80   -19.7612   -24.9655   -24.8848     5.2044  1.000    8
     .90   -19.7611   -24.9657   -24.8849     5.2046  1.000    7
    1.00   -19.7611   -24.9659   -24.8851     5.2047  1.000    7
    1.10   -19.7611   -24.9660   -24.8853     5.2049  1.000    8
    1.20   -19.7611   -24.9662   -24.8854     5.2051  1.000    6
    1.30   -19.7611   -24.9664   -24.8856     5.2052  1.000    7
    1.40   -19.7611   -24.9666   -24.8858     5.2054  1.000    6
    1.50   -19.7611   -24.9667   -24.8860     5.2056  1.000    7
    1.60   -19.7611   -24.9669   -24.8861     5.2058  1.000    7
    1.70   -19.7611   -24.9671   -24.8863     5.2060  1.000    7
    1.80   -19.7611   -24.9673   -24.8865     5.2061  1.000    8
    1.90   -19.7611   -24.9674   -24.8866     5.2063  1.000    6
     .00   -19.7200   -24.8546   -24.7743     5.1346   .999   16
     .10   -19.7200   -24.8547   -24.7744     5.1347  1.000    9
     .20   -19.7200   -24.8547   -24.7744     5.1347  1.000    9
     .30   -19.7200   -24.8547   -24.7745     5.1348  1.000    7
     .40   -19.7200   -24.8548   -24.7745     5.1348  1.000    7
     .50   -19.7200   -24.8549   -24.7746     5.1349  1.000    8
     .60   -19.7200   -24.8549   -24.7747     5.1349  1.000    9
     .70   -19.7194   -24.8544   -24.7741     5.1350  1.000    4
     .80   -19.7200   -24.8551   -24.7748     5.1351  1.000    7
     .90   -19.7200   -24.8551   -24.7748     5.1351  1.000    7
    1.00   -19.7200   -24.8552   -24.7749     5.1352  1.000    8
    1.10   -19.7200   -24.8553   -24.7750     5.1353  1.000    6
    1.20   -19.7199   -24.8553   -24.7750     5.1354  1.000    6
    1.30   -19.7200   -24.8554   -24.7751     5.1354  1.000    7
    1.40   -19.7200   -24.8555   -24.7752     5.1355  1.000    7
    1.50   -19.7200   -24.8556   -24.7753     5.1356  1.000    7
    1.60   -19.7199   -24.8556   -24.7753     5.1357  1.000    7
    1.70   -19.7200   -24.8557   -24.7755     5.1358  1.000    7
