 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7612   -24.9643   -24.8835     5.2031  1.000   17
     .10   -19.7611   -24.9644   -24.8836     5.2033  1.000    8
     .20   -19.7611   -24.9645   -24.8838     5.2034  1.000    8
     .30   -19.7611   -24.9647   -24.8839     5.2036  1.000    6
     .40   -19.7611   -24.9649   -24.8841     5.2037  1.000    8
     .50   -19.7612   -24.9651   -24.8843     5.2039  1.000    7
     .60   -19.7605   -24.9645   -24.8838     5.2041  1.000    4
     .70   -19.7611   -24.9654   -24.8846     5.2042  1.000    7
     .80   -19.7612   -24.9655   -24.8848     5.2044  1.000    8
     .90   -19.7611   -24.9657   -24.8849     5.2046  1.000    7
    1.00   -19.7611   -24.9659   -24.8851     5.2047  1.000    7
    1.10   -19.7611   -24.9660   -24.8853     5.2049  1.000    8
    1.20   -19.7611   -24.9662   -24.8854     5.2051  1.000    6
    1.30   -19.7611   -24.9664   -24.8856     5.2052  1.000    7
    1.40   -19.7611   -24.9666   -24.8858     5.2054  1.000    6
    1.50   -19.7611   -24.9667   -24.8860     5.2056  1.000    7
    1.60   -19.7611   -24.9669   -24.8861     5.2058  1.000    7
    1.70   -19.7611   -24.9671   -24.8863     5.2060  1.000    7
    1.80   -19.7611   -24.9673   -24.8865     5.2061  1.000    8
    1.90   -19.7611   -24.9674   -24.8866     5.2063  1.000    6
    2.00   -19.7611   -24.9676   -24.8868     5.2065  1.000    6
    2.10   -19.7611   -24.9678   -24.8870     5.2067  1.000    6
    2.20   -19.7611   -24.9680   -24.8872     5.2069  1.000    6
    2.30   -19.7611   -24.9682   -24.8874     5.2070  1.000    6
    2.40   -19.7611   -24.9683   -24.8875     5.2072  1.000    7
    2.50   -19.7611   -24.9685   -24.8877     5.2074  1.000    7
    2.60   -19.7611   -24.9687   -24.8879     5.2076  1.000    7
    2.70   -19.7611   -24.9689   -24.8881     5.2078  1.000    6
    2.80   -19.7609   -24.9689   -24.8881     5.2080  1.000    4
    2.90   -19.7611   -24.9692   -24.8885     5.2081  1.000    6
    3.00   -19.7611   -24.9694   -24.8886     5.2083  1.000    6
    3.10   -19.7611   -24.9696   -24.8888     5.2085   .999    6
    3.20   -19.7611   -24.9698   -24.8890     5.2087   .999    6
    3.30   -19.7611   -24.9700   -24.8892     5.2089   .999    6
    3.40   -19.7611   -24.9701   -24.8894     5.2091   .999    6
    3.50   -19.7611   -24.9703   -24.8895     5.2092   .999    6
    3.60   -19.7610   -24.9704   -24.8896     5.2094   .999    5
    3.70   -19.7611   -24.9707   -24.8899     5.2096   .999    6
    3.80   -19.7611   -24.9708   -24.8901     5.2098   .999    7
    3.90   -19.7611   -24.9710   -24.8902     5.2099   .999    7
    4.00   -19.7609   -24.9710   -24.8902     5.2101   .998    6
    4.10   -19.7611   -24.9714   -24.8906     5.2103   .998    7
    4.20   -19.7610   -24.9715   -24.8907     5.2105   .998    4
    4.30   -19.7611   -24.9717   -24.8909     5.2107   .998    6
    4.40   -19.7611   -24.9719   -24.8911     5.2108   .998    6
