 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.8236   -24.9199   -24.8395     5.0962  1.000   16
     .10   -19.8236   -24.9200   -24.8396     5.0964  1.000    8
     .20   -19.8236   -24.9201   -24.8398     5.0965  1.000    9
     .30   -19.8236   -24.9203   -24.8399     5.0966  1.000    7
     .40   -19.8236   -24.9203   -24.8400     5.0968  1.000    6
     .50   -19.8236   -24.9205   -24.8401     5.0969  1.000    7
     .60   -19.8236   -24.9207   -24.8403     5.0971  1.000    8
     .70   -19.8236   -24.9208   -24.8405     5.0972  1.000    8
     .80   -19.8236   -24.9210   -24.8406     5.0974  1.000    6
     .90   -19.8236   -24.9211   -24.8407     5.0975  1.000    6
    1.00   -19.8236   -24.9213   -24.8409     5.0977  1.000    6
    1.10   -19.8236   -24.9215   -24.8411     5.0978  1.000    6
    1.20   -19.8235   -24.9215   -24.8411     5.0980  1.000    5
    1.30   -19.8236   -24.9218   -24.8414     5.0981  1.000    6
    1.40   -19.8236   -24.9219   -24.8416     5.0983  1.000    7
    1.50   -19.8236   -24.9221   -24.8417     5.0985  1.000    7
    1.60   -19.8233   -24.9219   -24.8415     5.0986  1.000    4
    1.70   -19.8236   -24.9224   -24.8421     5.0988  1.000    7
    1.80   -19.8236   -24.9225   -24.8422     5.0990  1.000    6
    1.90   -19.8236   -24.9228   -24.8424     5.0992  1.000    6
    2.00   -19.8236   -24.9229   -24.8426     5.0993  1.000    6
    2.10   -19.8236   -24.9231   -24.8427     5.0995  1.000    8
    2.20   -19.8236   -24.9233   -24.8429     5.0997  1.000    6
    2.30   -19.8236   -24.9235   -24.8431     5.0999  1.000    7
    2.40   -19.8236   -24.9236   -24.8432     5.1000  1.000    6
    2.50   -19.8236   -24.9238   -24.8434     5.1002  1.000    7
    2.60   -19.8236   -24.9240   -24.8436     5.1004  1.000    6
    2.70   -19.8236   -24.9242   -24.8438     5.1006  1.000    6
    2.80   -19.8236   -24.9244   -24.8440     5.1008  1.000    6
    2.90   -19.8236   -24.9246   -24.8442     5.1010  1.000    6
    3.00   -19.8236   -24.9247   -24.8443     5.1012  1.000    5
    3.10   -19.8236   -24.9249   -24.8445     5.1013  1.000    6
    3.20   -19.8236   -24.9251   -24.8447     5.1015   .999    7
    3.30   -19.8236   -24.9253   -24.8449     5.1017   .999    6
    3.40   -19.8236   -24.9255   -24.8451     5.1019   .999    6
    3.50   -19.8236   -24.9257   -24.8453     5.1021   .999    6
    3.60   -19.8236   -24.9259   -24.8455     5.1023   .999    6
    3.70   -19.8236   -24.9261   -24.8456     5.1025   .999    6
    3.80   -19.8236   -24.9262   -24.8458     5.1027   .999    6
    3.90   -19.8236   -24.9264   -24.8460     5.1029   .999    6
    4.00   -19.8236   -24.9266   -24.8462     5.1031   .999    6
    4.10   -19.8236   -24.9268   -24.8464     5.1032   .999    6
    4.20   -19.8235   -24.9269   -24.8465     5.1034   .998    4
    4.30   -19.8236   -24.9272   -24.8468     5.1036   .998    7
    4.40   -19.8236   -24.9274   -24.8469     5.1038   .998    7
    4.50   -19.8236   -24.9276   -24.8471     5.1040   .998    5
    4.60   -19.8236   -24.9278   -24.8473     5.1042   .998    6
    4.70   -19.8236   -24.9279   -24.8475     5.1044   .997    6
    4.80   -19.8234   -24.9280   -24.8475     5.1045   .997    4
    4.90   -19.8236   -24.9283   -24.8479     5.1047   .997    6
    5.00   -19.8236   -24.9285   -24.8480     5.1049   .997    4
    5.10   -19.8236   -24.9286   -24.8482     5.1051   .996    4
    5.20   -19.8236   -24.9288   -24.8484     5.1053   .996    5
    5.30   -19.8235   -24.9289   -24.8485     5.1055   .996    4
    5.40   -19.8236   -24.9292   -24.8487     5.1056   .996    6
    5.50   -19.8236   -24.9294   -24.8489     5.1058   .995    4
    5.60   -19.8235   -24.9295   -24.8491     5.1060   .995    4
