 site       X              Y              Z             EMT           DFT
  3   0.9901851960   0.0000000000  -3.6000000000   1.0631659346  -0.6031798200
  3   0.9901851960   0.0000000000  -3.4000000000   1.9993926941  -0.1465905400
  3   0.9901851960   0.0000000000  -3.2000000000   4.4317865531   1.1117578100
  3   0.9901851960   0.0000000000  -3.0000000000   8.4103391745   3.2994252800
  3   0.9901851960   0.0000000000  -2.8000000000  13.3155666606   6.1133258200
  3   0.9901851960   0.0000000000  -2.6000000000  17.4862884310   8.5139200800
  3   0.9901851960   0.0000000000  -2.4000000000  18.8524402331   9.1851412300
  3   0.9901851960   0.0000000000  -2.2000000000  16.6161829142   7.6970446200
  3   0.9901851960   0.0000000000  -2.0000000000  12.0530768169   4.9591733700
  3   0.9901851960   0.0000000000  -1.8000000000   7.2663621077   2.2983098800
  3   0.9901851960   0.0000000000  -1.6000000000   3.6568194048   0.4593176600
  3   0.9901851960   0.0000000000  -1.4000000000   1.6167814089  -0.4914791800
  3   0.9901851960   0.0000000000  -1.2000000000   1.0180792059  -0.7495507400
  3   0.9901851960   0.0000000000  -1.0000000000   1.7515968722  -0.4087266900
  3   0.9901851960   0.0000000000  -0.8000000000   3.9400916984   0.6561365900
  3   0.9901851960   0.0000000000  -0.6000000000   7.6781261191   2.6246445000
  3   0.9901851960   0.0000000000  -0.4000000000  12.4728215673   5.3287169800
  3   0.9901851960   0.0000000000  -0.2000000000  16.7957184540   7.8723843300
  3   0.9901851960   0.0000000000   0.0000000000  18.5397283222   8.9024681300
  3   0.9901851960   0.0000000000   0.2000000000  16.6421220673   7.7224247800
  3   0.9901851960   0.0000000000   0.4000000000  12.1251767350   5.0143067900
  3   0.9901851960   0.0000000000   0.6000000000   7.0556014807   2.1325373400
  3   0.9901851960   0.0000000000   0.8000000000   2.9255125440  -0.0074507800
  3   0.9901851960   0.0000000000   1.0000000000   0.1955103069  -1.2163270900
  3   0.9901851960   0.0000000000   1.2000000000  -1.3025051902  -1.6991186600
  3   0.9901851960   0.0000000000   1.4000000000  -1.9305783459  -1.7292176200
  3   0.9901851960   0.0000000000   1.6000000000  -2.0289580886  -1.5159720200
  3   0.9901851960   0.0000000000   1.8000000000  -1.8497527786  -1.1937068500
  3   0.9901851960   0.0000000000   2.0000000000  -1.5559343322  -0.8436701800
  3   0.9901851960   0.0000000000   2.2000000000  -1.2416602877  -0.5098086800
  3   0.9901851960   0.0000000000   2.4000000000  -0.9543986632  -0.2666640400
  3   0.9901851960   0.0000000000   2.6000000000  -0.7131934871  -0.1308350200
  3   0.9901851960   0.0000000000   2.8000000000  -0.5211388944  -0.0624062900
  3   0.9901851960   0.0000000000   3.0000000000  -0.3741038851  -0.0305329200
  3   0.9901851960   0.0000000000   3.2000000000  -0.2646665448  -0.0160175500
  3   0.9901851960   0.0000000000   3.4000000000  -0.1847615096  -0.0094602600
  3   0.9901851960   0.0000000000   3.6000000000  -0.1275485573  -0.0065347700
  3   0.9901851960   0.0000000000   3.8000000000  -0.0865027100  -0.0052066400
  3   0.9901851960   0.0000000000   4.0000000000  -0.0585799229  -0.0045096400
  3   0.9901851960   0.0000000000   4.2000000000  -0.0394411093  -0.0039909800
  3   0.9901851960   0.0000000000   4.4000000000  -0.0253111766  -0.0034878200
  3   0.9901851960   0.0000000000   4.6000000000  -0.0152731368  -0.0029598800
  3   0.9901851960   0.0000000000   4.8000000000  -0.0084686013  -0.0024181400
  3   0.9901851960   0.0000000000   5.0000000000  -0.0043005765  -0.0018841800
  3   0.9901851960   0.0000000000   5.2000000000  -0.0002331669  -0.0013891900
