  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
   70   124.4248    .193005   5.00444   3.93752   6.03879   4.05111  20.31795   2.44920
   71   124.4986    .193119   5.00454   3.90762   6.04573   4.05511  20.31797   2.44919
   72   124.6113    .193294   5.00464   3.87772   6.05266   4.05912  20.31799   2.44917
   73   124.7139    .193453   5.00476   3.84782   6.05960   4.06312  20.31801   2.44915
   74   124.7708    .193541   5.00496   3.81792   6.06653   4.06712  20.31803   2.44914
   75   124.8159    .193611   5.00512   3.78802   6.07347   4.07113  20.31805   2.44912
   76   124.9488    .193817   5.00524   3.75812   6.08040   4.07513  20.31807   2.44911
   77   125.0300    .193943   5.00544   3.72822   6.08734   4.07914  20.31809   2.44909
   78   125.0591    .193989   5.00569   3.69832   6.09427   4.08314  20.31811   2.44908
   79   125.1807    .194177   5.00595   3.66841   6.10121   4.08715  20.31813   2.44906
   80   125.2729    .194320   5.00620   3.63851   6.10814   4.09115  20.31815   2.44905
   81   125.3264    .194403   5.00653   3.60860   6.11508   4.09515  20.31817   2.44903
   82   125.4321    .194567   5.00688   3.57870   6.12201   4.09916  20.31819   2.44902
   83   125.5031    .194677   5.00726   3.54879   6.12895   4.10316  20.31821   2.44900
   84   125.5777    .194793   5.00771   3.51888   6.13588   4.10717  20.31823   2.44899
   85   125.6793    .194951   5.00819   3.48897   6.14282   4.11117  20.31824   2.44897
   86   125.7460    .195054   5.00873   3.45906   6.14975   4.11518  20.31826   2.44895
   87   125.8162    .195163   5.00938   3.42915   6.15668   4.11919  20.31828   2.44894
   88   125.8996    .195292   5.01008   3.39923   6.16362   4.12319  20.31830   2.44892
   89   125.9722    .195405   5.01088   3.36931   6.17055   4.12720  20.31832   2.44891
   90   126.0304    .195495   5.01177   3.33939   6.17749   4.13121  20.31834   2.44889
   91   126.1383    .195663   5.01277   3.30947   6.18442   4.13521  20.31836   2.44888
   92   126.2359    .195814   5.01392   3.27954   6.19135   4.13922  20.31838   2.44886
   93   126.2806    .195883   5.01517   3.24961   6.19829   4.14323  20.31840   2.44884
   94   126.3711    .196024   5.01661   3.21968   6.20522   4.14724  20.31842   2.44883
   95   126.4432    .196135   5.01821   3.18974   6.21215   4.15125  20.31844   2.44881
   96   126.4930    .196213   5.02000   3.15979   6.21908   4.15526  20.31846   2.44880
   97   126.5735    .196338   5.02205   3.12984   6.22602   4.15927  20.31848   2.44878
   98   126.6544    .196463   5.02432   3.09988   6.23295   4.16329  20.31850   2.44877
   99   126.7367    .196591   5.02691   3.06992   6.23988   4.16730  20.31852   2.44875
  100   126.8218    .196723   5.02982   3.03994   6.24681   4.17132  20.31854   2.44873
  101   126.8770    .196808   5.03305   3.00996   6.25374   4.17534  20.31856   2.44872
  102   126.9630    .196942   5.03670   2.97996   6.26067   4.17936  20.31858   2.44870
  103   127.0179    .197027   5.04082   2.94995   6.26760   4.18338  20.31860   2.44869
  104   127.0749    .197115   5.04543   2.91993   6.27452   4.18740  20.31862   2.44867
  105   127.1770    .197274   5.05064   2.88990   6.28145   4.19143  20.31864   2.44865
  106   127.2634    .197408   5.05646   2.85984   6.28837   4.19546  20.31866   2.44864
  107   127.3310    .197513   5.06300   2.82977   6.29529   4.19949  20.31868   2.44862
  108   127.3706    .197574   5.07036   2.79967   6.30221   4.20353  20.31870   2.44861
  109   127.4418    .197685   5.07856   2.76955   6.30913   4.20757  20.31872   2.44859
  110   127.5460    .197846   5.08776   2.73940   6.31605   4.21162  20.31874   2.44857
  111   127.6056    .197939   5.09806   2.70923   6.32296   4.21567  20.31876   2.44856
  112   127.6498    .198007   5.10955   2.67901   6.32987   4.21973  20.31878   2.44854
