 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
    9.50   -19.8604   -25.0370   -24.9567     5.1765   .933    3
    9.60   -19.8604   -25.0391   -24.9588     5.1787   .929    4
    9.70   -19.8604   -25.0415   -24.9612     5.1810   .923    3
    9.80   -19.8604   -25.0441   -24.9638     5.1837   .918    4
    9.90   -19.8604   -25.0471   -24.9668     5.1867   .912    4
   10.00   -19.8604   -25.0504   -24.9701     5.1901   .906    3
   10.10   -19.8604   -25.0542   -24.9739     5.1938   .899    4
   10.20   -19.8604   -25.0583   -24.9781     5.1980   .892    3
   10.30   -19.8603   -25.0630   -24.9828     5.2027   .884    3
   10.40   -19.8603   -25.0683   -24.9880     5.2079   .875    4
   10.50   -19.8603   -25.0742   -24.9939     5.2138   .866    3
   10.60   -19.8603   -25.0808   -25.0005     5.2204   .856    4
   10.70   -19.8603   -25.0881   -25.0078     5.2278   .845    3
   10.80   -19.8603   -25.0964   -25.0160     5.2361   .834    3
   10.90   -19.8603   -25.1056   -25.0252     5.2453   .821    4
   11.00   -19.8603   -25.1159   -25.0354     5.2557   .807    3
   11.10   -19.8602   -25.1274   -25.0468     5.2672   .793    4
   11.20   -19.8602   -25.1402   -25.0594     5.2800   .777    4
   11.30   -19.8602   -25.1544   -25.0734     5.2941   .760    4
   11.40   -19.8602   -25.1701   -25.0889     5.3099   .742    3
   11.50   -19.8602   -25.1875   -25.1059     5.3273   .722    4
   11.60   -19.8602   -25.2067   -25.1247     5.3465   .700    4
   11.70   -19.8601   -25.2279   -25.1453     5.3678   .676    3
   11.80   -19.8601   -25.2512   -25.1680     5.3911   .649    3
   11.90   -19.8601   -25.2769   -25.1928     5.4168   .620    3
   12.00   -19.8601   -25.3051   -25.2199     5.4450   .584    4
   12.10   -19.8601   -25.3361   -25.2496     5.4759   .543    4
   12.20   -19.8601   -25.3700   -25.2820     5.5099   .493    3
   12.30   -19.8601   -25.4072   -25.3174     5.5471   .429    4
   12.40   -19.8602   -25.4480   -25.3564     5.5879   .341    4
   12.50   -19.8604   -25.4930   -25.3999     5.6325   .216    3
   12.60   -19.8614   -25.5420   -25.4487     5.6806   .019    4
   12.70   -19.8614   -25.5923   -25.4994     5.7309   .001   13
   12.80   -19.8614   -25.6436   -25.5512     5.7822   .000    7
   12.90   -19.8614   -25.6959   -25.6039     5.8345  -.001    4
   13.00   -19.8614   -25.7492   -25.6575     5.8878  -.001    4
   13.10   -19.8614   -25.8033   -25.7120     5.9419   .000    3
   13.20   -19.8614   -25.8582   -25.7673     5.9968   .000    3
   13.30   -19.8614   -25.9138   -25.8233     6.0524   .000    3
   13.40   -19.8614   -25.9700   -25.8798     6.1086   .000    3
   13.50   -19.8613   -26.0266   -25.9367     6.1652   .000    3
   13.60   -19.8613   -26.0834   -25.9939     6.2221   .001    3
   13.70   -19.8613   -26.1403   -26.0512     6.2790   .001    3
   13.80   -19.8613   -26.1971   -26.1083     6.3358   .000    3
   13.90   -19.8613   -26.2535   -26.1650     6.3921   .000    3
   14.00   -19.8614   -26.3092   -26.2210     6.4479   .000    3
   14.10   -19.8614   -26.3639   -26.2760     6.5026   .000    3
   14.20   -19.8614   -26.4173   -26.3297     6.5559   .000   15
   14.30   -19.8615   -26.4689   -26.3815     6.6075   .000    6
   14.40   -19.8616   -26.5183   -26.4312     6.6568   .000    3
   14.50   -19.8616   -26.5650   -26.4782     6.7034   .000    4
   14.60   -19.8617   -26.6085   -26.5218     6.7468   .000    4
   14.70   -19.8617   -26.6480   -26.5617     6.7863   .000    3
   14.80   -19.8617   -26.6829   -26.5969     6.8212   .000    4
   14.90   -19.8617   -26.7125   -26.6268     6.8508   .000    3
   15.00   -19.8617   -26.7360   -26.6506     6.8743   .000    4
   15.10   -19.8618   -26.7525   -26.6675     6.8907   .000    4
   15.20   -19.8618   -26.7611   -26.6764     6.8993   .000    3
   15.30   -19.8618   -26.7608   -26.6765     6.8990   .000    4
   15.40   -19.8619   -26.7507   -26.6668     6.8888   .000    5
   15.50   -19.8619   -26.7298   -26.6463     6.8679   .000    4
   15.60   -19.8620   -26.6972   -26.6140     6.8351   .000    4
   15.70   -19.8621   -26.6519   -26.5693     6.7899   .000    4
   15.80   -19.8621   -26.5934   -26.5112     6.7314   .000    4
   15.90   -19.8621   -26.5211   -26.4395     6.6591   .000    3
   16.00   -19.8620   -26.4347   -26.3534     6.5728   .000    5
   16.10   -19.8620   -26.3345   -26.2537     6.4725   .000    5
   16.20   -19.8620   -26.2210   -26.1406     6.3591   .000    4
   16.30   -19.8618   -26.0954   -26.0153     6.2336   .000    3
   16.40   -19.8615   -25.9594   -25.8799     6.0979   .000    5
   16.50   -19.8613   -25.8156   -25.7364     5.9543   .000    6
   16.60   -19.8611   -25.6669   -25.5882     5.8059   .000    5
   16.70   -19.8608   -25.5173   -25.4389     5.6565   .000    3
   16.80   -19.8604   -25.3710   -25.2930     5.5106   .000    4
   16.90   -19.8600   -25.2327   -25.1549     5.3726   .000    5
   17.00   -19.8597   -25.1071   -25.0297     5.2474   .000    5
   17.10   -19.8594   -24.9991   -24.9219     5.1397   .000    4
   17.20   -19.8592   -24.9127   -24.8359     5.0536   .000    4
   17.30   -19.8590   -24.8515   -24.7749     4.9925   .000    4
   17.40   -19.8589   -24.8178   -24.7414     4.9589   .000    4
   17.50   -19.8589   -24.8129   -24.7367     4.9539   .000    3
   17.60   -19.8590   -24.8365   -24.7604     4.9775   .000    5
   17.70   -19.8592   -24.8873   -24.8114     5.0281   .000    5
   17.80   -19.8594   -24.9626   -24.8869     5.1032   .000    4
   17.90   -19.8597   -25.0591   -24.9835     5.1993   .000    2
   18.00   -19.8600   -25.1723   -25.0969     5.3123   .000    4
   18.10   -19.8603   -25.2978   -25.2223     5.4375   .000    4
   18.20   -19.8606   -25.4309   -25.3556     5.5703   .000    5
   18.30   -19.8609   -25.5673   -25.4921     5.7065   .000    3
   18.40   -19.8611   -25.7030   -25.6277     5.8419   .000    4
   18.50   -19.8613   -25.8345   -25.7593     5.9732   .000    4
   18.60   -19.8614   -25.9590   -25.8838     6.0976   .000    4
   18.70   -19.8615   -26.0744   -25.9994     6.2129   .000    3
   18.80   -19.8615   -26.1791   -26.1041     6.3176   .000    4
   18.90   -19.8615   -26.2724   -26.1974     6.4109   .000    5
   19.00   -19.8615   -26.3536   -26.2787     6.4921   .000    4
   19.10   -19.8614   -26.4227   -26.3478     6.5613   .000    3
   19.20   -19.8613   -26.4800   -26.4051     6.6187   .000    4
   19.30   -19.8613   -26.5259   -26.4510     6.6646   .000    5
   19.40   -19.8612   -26.5610   -26.4861     6.6998   .000    5
   19.50   -19.8611   -26.5860   -26.5112     6.7248   .000    3
   19.60   -19.8610   -26.6016   -26.5268     6.7406   .000    4
   19.70   -19.8609   -26.6086   -26.5338     6.7476   .000    4
   19.80   -19.8609   -26.6077   -26.5330     6.7468   .000    4
   19.90   -19.8608   -26.5996   -26.5250     6.7388   .000    3
   20.00   -19.8607   -26.5849   -26.5106     6.7242   .000    3
   20.10   -19.8606   -26.5643   -26.4899     6.7037   .000    4
   20.20   -19.8605   -26.5384   -26.4640     6.6778   .000    4
   20.30   -19.8605   -26.5076   -26.4333     6.6471   .000    3
   20.40   -19.8604   -26.4725   -26.3984     6.6122   .000    4
   20.50   -19.8603   -26.4337   -26.3596     6.5734   .000    4
   20.60   -19.8602   -26.3917   -26.3176     6.5314   .000    3
   20.70   -19.8602   -26.3469   -26.2729     6.4867   .000    4
   20.80   -19.8601   -26.2999   -26.2259     6.4398   .000    4
   20.90   -19.8600   -26.2512   -26.1774     6.3912   .000    4
   21.00   -19.8599   -26.2014   -26.1275     6.3415   .000    4
   21.10   -19.8598   -26.1511   -26.0774     6.2913   .000    5
   21.20   -19.8598   -26.1008   -26.0272     6.2410   .000    5
   21.30   -19.8597   -26.0512   -25.9777     6.1915   .000    4
   21.40   -19.8596   -26.0029   -25.9293     6.1433   .000    2
