 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.6619   -24.8240   -24.7442     5.1622   .999   16
     .10   -19.6618   -24.8241   -24.7442     5.1623  1.000    8
     .20   -19.6619   -24.8242   -24.7444     5.1624  1.000   10
     .30   -19.6618   -24.8243   -24.7445     5.1625  1.000    7
     .40   -19.6619   -24.8245   -24.7446     5.1626  1.000    7
     .50   -19.6618   -24.8246   -24.7447     5.1627  1.000    7
     .60   -19.6617   -24.8246   -24.7447     5.1628  1.000    6
     .70   -19.6618   -24.8248   -24.7449     5.1630  1.000    7
     .80   -19.6618   -24.8249   -24.7450     5.1631  1.000    6
     .90   -19.6618   -24.8250   -24.7452     5.1632  1.000    6
    1.00   -19.6618   -24.8252   -24.7453     5.1633  1.000    7
    1.10   -19.6618   -24.8253   -24.7454     5.1635  1.000    7
    1.20   -19.6619   -24.8254   -24.7456     5.1636  1.000    7
    1.30   -19.6619   -24.8256   -24.7457     5.1637  1.000    8
    1.40   -19.6618   -24.8257   -24.7458     5.1638  1.000    7
    1.50   -19.6618   -24.8257   -24.7459     5.1640  1.000    6
    1.60   -19.6617   -24.8258   -24.7459     5.1641  1.000    5
    1.70   -19.6618   -24.8261   -24.7462     5.1642  1.000    7
    1.80   -19.6618   -24.8261   -24.7463     5.1644  1.000    5
    1.90   -19.6618   -24.8264   -24.7465     5.1645  1.000    7
    2.00   -19.6618   -24.8265   -24.7466     5.1647  1.000    6
    2.10   -19.6618   -24.8266   -24.7468     5.1648  1.000    7
    2.20   -19.6617   -24.8266   -24.7467     5.1649  1.000    4
    2.30   -19.6618   -24.8269   -24.7470     5.1651  1.000    6
    2.40   -19.6618   -24.8270   -24.7472     5.1652  1.000    6
    2.50   -19.6618   -24.8272   -24.7473     5.1654  1.000    6
    2.60   -19.6618   -24.8273   -24.7475     5.1655  1.000    7
    2.70   -19.6618   -24.8275   -24.7476     5.1656  1.000    7
    2.80   -19.6618   -24.8276   -24.7478     5.1658  1.000    7
    2.90   -19.6618   -24.8278   -24.7479     5.1659  1.000    7
    3.00   -19.6618   -24.8279   -24.7480     5.1661  1.000    7
    3.10   -19.6618   -24.8280   -24.7481     5.1662  1.000    6
    3.20   -19.6618   -24.8282   -24.7483     5.1664   .999    6
    3.30   -19.6618   -24.8283   -24.7485     5.1665   .999    5
