 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7908   -24.9240   -24.8452     5.1332  1.000   16
     .10   -19.7908   -24.9244   -24.8456     5.1336  1.000    8
     .20   -19.7908   -24.9248   -24.8460     5.1339  1.000    8
     .30   -19.7908   -24.9251   -24.8463     5.1343  1.000    7
     .40   -19.7908   -24.9255   -24.8467     5.1347  1.000    7
     .50   -19.7908   -24.9259   -24.8471     5.1350  1.000    8
     .60   -19.7908   -24.9262   -24.8474     5.1354  1.000    9
     .70   -19.7908   -24.9266   -24.8478     5.1358  1.000    8
     .80   -19.7907   -24.9269   -24.8481     5.1362  1.000    8
     .90   -19.7908   -24.9274   -24.8485     5.1365  1.000    7
    1.00   -19.7908   -24.9277   -24.8489     5.1369  1.000    6
    1.10   -19.7908   -24.9281   -24.8493     5.1373  1.000    7
    1.20   -19.7905   -24.9282   -24.8494     5.1377  1.000    5
    1.30   -19.7908   -24.9289   -24.8501     5.1381  1.000    7
    1.40   -19.7908   -24.9293   -24.8505     5.1385  1.000    9
    1.50   -19.7908   -24.9297   -24.8508     5.1388  1.000    7
    1.60   -19.7908   -24.9301   -24.8512     5.1392  1.000    8
    1.70   -19.7908   -24.9304   -24.8516     5.1396  1.000    8
    1.80   -19.7908   -24.9308   -24.8520     5.1400  1.000    6
    1.90   -19.7908   -24.9312   -24.8524     5.1404  1.000    8
    2.00   -19.7908   -24.9316   -24.8528     5.1408  1.000    8
    2.10   -19.7908   -24.9320   -24.8532     5.1412  1.000    7
    2.20   -19.7908   -24.9324   -24.8536     5.1416  1.000    7
    2.30   -19.7908   -24.9328   -24.8540     5.1420  1.000    7
    2.40   -19.7908   -24.9332   -24.8544     5.1424  1.000    6
    2.50   -19.7908   -24.9336   -24.8548     5.1428  1.000    7
    2.60   -19.7908   -24.9340   -24.8552     5.1432  1.000    6
    2.70   -19.7908   -24.9344   -24.8556     5.1436  1.000    6
    2.80   -19.7908   -24.9348   -24.8560     5.1440  1.000    7
    2.90   -19.7908   -24.9352   -24.8564     5.1444  1.000    6
    3.00   -19.7908   -24.9357   -24.8568     5.1449  1.000    7
    3.10   -19.7908   -24.9361   -24.8572     5.1453  1.000    7
    3.20   -19.7908   -24.9365   -24.8576     5.1457  1.000    7
    3.30   -19.7907   -24.9368   -24.8579     5.1461  1.000    4
    3.40   -19.7908   -24.9373   -24.8584     5.1465  1.000    7
    3.50   -19.7907   -24.9376   -24.8588     5.1469   .999    5
    3.60   -19.7908   -24.9381   -24.8593     5.1473   .999    6
    3.70   -19.7908   -24.9385   -24.8597     5.1478   .999    7
    3.80   -19.7908   -24.9389   -24.8601     5.1482   .999    5
    3.90   -19.7908   -24.9394   -24.8605     5.1486   .999    6
    4.00   -19.7908   -24.9398   -24.8609     5.1490   .999    6
    4.10   -19.7908   -24.9402   -24.8613     5.1494   .999    6
    4.20   -19.7906   -24.9405   -24.8616     5.1498   .999    5
    4.30   -19.7908   -24.9410   -24.8621     5.1502   .999    7
    4.40   -19.7908   -24.9414   -24.8626     5.1507   .999    6
    4.50   -19.7908   -24.9418   -24.8630     5.1511   .998    6
    4.60   -19.7908   -24.9422   -24.8634     5.1515   .998    7
    4.70   -19.7908   -24.9427   -24.8638     5.1519   .998    7
    4.80   -19.7908   -24.9431   -24.8642     5.1523   .998    6
    4.90   -19.7907   -24.9434   -24.8646     5.1527   .998    4
    5.00   -19.7908   -24.9439   -24.8650     5.1531   .997    5
    5.10   -19.7908   -24.9443   -24.8654     5.1535   .997    6
    5.20   -19.7908   -24.9447   -24.8658     5.1539   .997    6
    5.30   -19.7907   -24.9451   -24.8662     5.1543   .997    5
    5.40   -19.7907   -24.9455   -24.8666     5.1548   .996    5
    5.50   -19.7907   -24.9459   -24.8670     5.1552   .996    5
    5.60   -19.7907   -24.9463   -24.8674     5.1556   .996    4
    5.70   -19.7907   -24.9467   -24.8678     5.1560   .995    5
    5.80   -19.7907   -24.9471   -24.8682     5.1564   .995    4
    5.90   -19.7907   -24.9475   -24.8686     5.1568   .995    5
    6.00   -19.7907   -24.9479   -24.8690     5.1572   .995    6
    6.10   -19.7907   -24.9483   -24.8694     5.1576   .994    4
    6.20   -19.7907   -24.9487   -24.8698     5.1580   .994    4
